"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","LA","modelo_3","profunda",4170,0.6,0.4,0.6,0.01,10,0.75,0.80327868852459,0.645161290322581,0.809917355371901,0.816666666666667
"2","LA","modelo_3","profunda",3951,0.6,0.4,0.6,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"3","LA","modelo_3","profunda",5491,0.6,0.4,0.6,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"4","LA","modelo_3","profunda",1762,0.6,0.4,0.6,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"5","LA","modelo_3","profunda",3409,0.6,0.4,0.6,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"6","LA","modelo_3","profunda",3980,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"7","LA","modelo_3","profunda",1383,0.6,0.4,0.6,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"8","LA","modelo_3","profunda",768,0.6,0.4,0.6,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"9","LA","modelo_3","profunda",1058,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"10","LA","modelo_3","profunda",8585,0.6,0.4,0.6,0.01,10,0.66304347826087,0.737704918032787,0.516129032258065,0.743801652892562,0.75
"11","LA","modelo_3","profunda",564,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"12","LA","modelo_3","profunda",2478,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"13","LA","modelo_3","profunda",9481,0.6,0.4,0.6,0.01,10,0.66304347826087,0.737704918032787,0.516129032258065,0.743801652892562,0.75
"14","LA","modelo_3","profunda",5701,0.6,0.4,0.6,0.01,10,0.619565217391304,0.704918032786885,0.451612903225806,0.710743801652893,0.716666666666667
"15","LA","modelo_3","profunda",8455,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"16","LA","modelo_3","profunda",6401,0.6,0.4,0.6,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"17","LA","modelo_3","profunda",3291,0.6,0.4,0.6,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"18","LA","modelo_3","profunda",9579,0.6,0.4,0.6,0.01,10,0.619565217391304,0.704918032786885,0.451612903225806,0.710743801652893,0.716666666666667
"19","LA","modelo_3","profunda",1438,0.6,0.4,0.6,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"20","LA","modelo_3","profunda",3142,0.6,0.4,0.6,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
