"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"PIT","modelo_2","profunda",0.2,0.2,"0.3",0.05,40,0.678947368421053,0.773809523809524,0.4921875,0.76171875,0.75
"PIT","modelo_3","no_profunda",0.4,0.2,"NA",0.05,40,0.702105263157895,0.791269841269841,0.5265625,0.77890625,0.766923076923077
"PIT","modelo_3","profunda",0.3,0.5,"0.5",0.02,10,0.706315789473684,0.794444444444444,0.5328125,0.78203125,0.77
"PIT","modelo_4","no_profunda",0.2,0.3,"NA",0.1,10,0.64,0.744444444444444,0.434375,0.7328125,0.721538461538462
"PIT","modelo_4","profunda",0.2,0.6,"0.5",0.03,10,0.661052631578947,0.76031746031746,0.465625,0.7484375,0.736923076923077
"SF","modelo_1","no_profunda",0.6,0.2,"NA",0.05,40,0.653333333333333,0.723529411764706,0.561538461538462,0.702857142857143,0.683333333333333
"SF","modelo_1","profunda",0.2,0.6,"0.4",0.02,20,0.662222222222222,0.731372549019608,0.571794871794872,0.71047619047619,0.690740740740741
"SF","modelo_2","no_profunda",0.2,0.6,"NA",0.03,20,0.732222222222222,0.793137254901961,0.652564102564103,0.77047619047619,0.749074074074074
"SF","modelo_2","profunda",0.2,0.4,"0.6",0.03,60,0.666666666666667,0.735294117647059,0.576923076923077,0.714285714285714,0.694444444444444
"SF","modelo_3","no_profunda",0.5,0.2,"NA",0.01,20,0.852222222222222,0.899019607843137,0.791025641025641,0.873333333333333,0.849074074074074
