"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"NYJ","modelo_1","no_profunda",0.2,0.5,"NA",0.01,20,0.645794392523364,0.721323529411765,0.514102564102564,0.721323529411765,0.721323529411765
"NYJ","modelo_1","profunda",0.4,0.2,"0.2",0.03,60,0.678504672897196,0.747058823529412,0.558974358974359,0.747058823529412,0.747058823529412
"NYJ","modelo_2","no_profunda",0.5,0.6,"NA",0.01,40,0.696261682242991,0.761029411764706,0.583333333333333,0.761029411764706,0.761029411764706
"NYJ","modelo_2","profunda",0.6,0.3,"0.6",0.02,40,0.676635514018692,0.745588235294118,0.556410256410256,0.745588235294118,0.745588235294118
"NYJ","modelo_3","no_profunda",0.2,0.4,"NA",0.01,10,0.702803738317757,0.766176470588235,0.592307692307692,0.766176470588235,0.766176470588235
"NYJ","modelo_3","profunda",0.2,0.4,"0.2",0.02,20,0.698130841121495,0.7625,0.585897435897436,0.7625,0.7625
"NYJ","modelo_4","no_profunda",0.2,0.2,"NA",0.01,10,0.661682242990654,0.733823529411765,0.535897435897436,0.733823529411765,0.733823529411765
"NYJ","modelo_4","profunda",0.3,0.2,"0.6",0.02,60,0.689719626168224,0.755882352941176,0.574358974358974,0.755882352941177,0.755882352941176
