"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"CHI","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.56,0.541666666666667,0.576923076923077,NA,0.541666666666667,0.541666666666667
"CHI","modelo_1","grid","0.01","0.6","30","5","5","NA","0.618165265957554",0.559,0.540625,0.575961538461538,0.618165265957554,0.540625,0.540625
"CHI","modelo_1","bayesiana","0.120482215529815","0.834668919307459","21","5","4","0.676875006048192","NA",0.554,0.535416666666667,0.571153846153846,NA,0.535416666666667,0.535416666666667
"CHI","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.6,0.583333333333333,0.615384615384615,NA,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid","0.2","0.8","15","5","3","NA","0.613222472125872",0.619,0.603125,0.633653846153846,0.613222472125872,0.603125,0.603125
"CHI","modelo_2","bayesiana","0.137000394081203","0.559550798244868","32","11","5","0.692333861943242","NA",0.608,0.591666666666667,0.623076923076923,NA,0.591666666666667,0.591666666666667
"CHI","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.6,0.583333333333333,0.615384615384615,NA,0.583333333333333,0.583333333333333
"CHI","modelo_3","grid","0.2","0.8","15","5","3","NA","0.613222472125872",0.624,0.608333333333333,0.638461538461538,0.613222472125872,0.608333333333333,0.608333333333333
"CHI","modelo_3","bayesiana","0.0608365356259496","0.541301245072465","43","8","3","0.709667701803664","NA",0.644,0.629166666666667,0.657692307692308,NA,0.629166666666667,0.629166666666667
"CHI","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.56,0.541666666666667,0.576923076923077,NA,0.541666666666667,0.541666666666667
"CHI","modelo_4","grid","0.01","0.6","30","5","5","NA","0.618165265957554",0.548,0.529166666666667,0.565384615384615,0.618165265957554,0.529166666666667,0.529166666666667
"CHI","modelo_4","bayesiana","0.0100554043655907","0.844753507863361","16","5","5","0.668115916111632","NA",0.547,0.528125,0.564423076923077,NA,0.528125,0.528125
