"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"MIA","modelo_1","grid",4170,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",3951,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
"MIA","modelo_1","grid",5491,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",1762,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",3409,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
"MIA","modelo_1","grid",3980,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",1383,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",768,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",1058,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
"MIA","modelo_1","grid",8585,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",564,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",2478,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",9481,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",5701,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
"MIA","modelo_1","grid",8455,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",6401,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",3291,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
"MIA","modelo_1","grid",9579,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",1438,0.01,0.9,15,10,5,"NA",0.68526192847002,0.742574257425743,0.805970149253731,0.617647058823529,0.722063821834334,0.805970149253731,0.805970149253731
"MIA","modelo_1","grid",3142,0.01,0.9,15,10,5,"NA",0.68526192847002,0.722772277227723,0.791044776119403,0.588235294117647,0.700684115821591,0.791044776119403,0.791044776119403
