"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"LAC","modelo_2","grid",4170,0.03,0.7,15,5,3,"NA",0.711596217693779,0.775510204081633,0.838235294117647,0.633333333333333,0.749026277177538,0.838235294117647,0.838235294117647
"LAC","modelo_2","grid",3951,0.03,0.7,15,5,3,"NA",0.711596217693779,0.755102040816326,0.823529411764706,0.6,0.726210484193678,0.823529411764706,0.823529411764706
"LAC","modelo_2","grid",5491,0.03,0.7,15,5,3,"NA",0.711596217693779,0.755102040816326,0.823529411764706,0.6,0.726210484193678,0.823529411764706,0.823529411764706
"LAC","modelo_2","grid",1762,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",3409,0.03,0.7,15,5,3,"NA",0.711596217693779,0.775510204081633,0.838235294117647,0.633333333333333,0.749026277177538,0.838235294117647,0.838235294117647
"LAC","modelo_2","grid",3980,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",1383,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",768,0.03,0.7,15,5,3,"NA",0.711596217693779,0.775510204081633,0.838235294117647,0.633333333333333,0.749026277177538,0.838235294117647,0.838235294117647
"LAC","modelo_2","grid",1058,0.03,0.7,15,5,3,"NA",0.711596217693779,0.775510204081633,0.838235294117647,0.633333333333333,0.749026277177538,0.838235294117647,0.838235294117647
"LAC","modelo_2","grid",8585,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",564,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",2478,0.03,0.7,15,5,3,"NA",0.711596217693779,0.714285714285714,0.794117647058823,0.533333333333333,0.680578898225957,0.794117647058823,0.794117647058823
"LAC","modelo_2","grid",9481,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",5701,0.03,0.7,15,5,3,"NA",0.711596217693779,0.755102040816326,0.823529411764706,0.6,0.726210484193678,0.823529411764706,0.823529411764706
"LAC","modelo_2","grid",8455,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",6401,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",3291,0.03,0.7,15,5,3,"NA",0.711596217693779,0.755102040816326,0.823529411764706,0.6,0.726210484193678,0.823529411764706,0.823529411764706
"LAC","modelo_2","grid",9579,0.03,0.7,15,5,3,"NA",0.711596217693779,0.73469387755102,0.808823529411765,0.566666666666667,0.703394691209817,0.808823529411765,0.808823529411765
"LAC","modelo_2","grid",1438,0.03,0.7,15,5,3,"NA",0.711596217693779,0.775510204081633,0.838235294117647,0.633333333333333,0.749026277177538,0.838235294117647,0.838235294117647
"LAC","modelo_2","grid",3142,0.03,0.7,15,5,3,"NA",0.711596217693779,0.755102040816326,0.823529411764706,0.6,0.726210484193678,0.823529411764706,0.823529411764706
