"diff","lwr","upr","p.adj","comparacion","equipo"
0.0912698412698417,0.0631278020697591,0.119411880469924,3.98570065840431e-14,"no_profunda_modelo_2-no_profunda_modelo_1","PIT"
0.061904761904762,0.0337627227046794,0.0900468011048447,7.69959818125443e-09,"no_profunda_modelo_3-no_profunda_modelo_1","PIT"
0.015079365079365,-0.0130626741207176,0.0432214042794477,0.720970415200443,"no_profunda_modelo_4-no_profunda_modelo_1","PIT"
-0.034920634920635,-0.0630626741207177,-0.00677859572055237,0.00479057744439981,"profunda_modelo_1-no_profunda_modelo_1","PIT"
0.0444444444444446,0.016302405244362,0.0725864836445273,7.97959088061351e-05,"profunda_modelo_2-no_profunda_modelo_1","PIT"
0.0650793650793652,0.0369373258792825,0.0932214042794478,1.19725773739532e-09,"profunda_modelo_3-no_profunda_modelo_1","PIT"
0.030952380952381,0.00281034175229831,0.0590944201524636,0.0202062119432548,"profunda_modelo_4-no_profunda_modelo_1","PIT"
-0.0293650793650797,-0.0575071185651624,-0.00122304016499706,0.0341248637371112,"no_profunda_modelo_3-no_profunda_modelo_2","PIT"
-0.0761904761904767,-0.104332515390559,-0.0480484369903941,1.34214861446935e-12,"no_profunda_modelo_4-no_profunda_modelo_2","PIT"
-0.126190476190477,-0.154332515390559,-0.0980484369903941,0,"profunda_modelo_1-no_profunda_modelo_2","PIT"
-0.0468253968253971,-0.0749674360254798,-0.0186833576253145,2.54301836344339e-05,"profunda_modelo_2-no_profunda_modelo_2","PIT"
-0.0261904761904765,-0.0543325153905592,0.0019515630096061,0.088238406210944,"profunda_modelo_3-no_profunda_modelo_2","PIT"
-0.0603174603174608,-0.0884594995175434,-0.0321754211173781,1.91847757680108e-08,"profunda_modelo_4-no_profunda_modelo_2","PIT"
-0.046825396825397,-0.0749674360254796,-0.0186833576253143,2.54301836344339e-05,"no_profunda_modelo_4-no_profunda_modelo_3","PIT"
-0.096825396825397,-0.12496743602548,-0.0686833576253144,2.74225087082414e-14,"profunda_modelo_1-no_profunda_modelo_3","PIT"
-0.0174603174603174,-0.0456023566604,0.0106817217397652,0.548322279772706,"profunda_modelo_2-no_profunda_modelo_3","PIT"
0.00317460317460316,-0.0249674360254795,0.0313166423746858,0.999970046222111,"profunda_modelo_3-no_profunda_modelo_3","PIT"
-0.0309523809523811,-0.0590944201524637,-0.00281034175229842,0.0202062119432543,"profunda_modelo_4-no_profunda_modelo_3","PIT"
-0.05,-0.0781420392000827,-0.0218579607999174,5.19170790203027e-06,"profunda_modelo_1-no_profunda_modelo_4","PIT"
0.0293650793650796,0.00122304016499695,0.0575071185651622,0.0341248637371122,"profunda_modelo_2-no_profunda_modelo_4","PIT"
0.0500000000000002,0.0218579607999175,0.0781420392000828,5.19170790203027e-06,"profunda_modelo_3-no_profunda_modelo_4","PIT"
0.0158730158730159,-0.0122690233270667,0.0440150550730986,0.665335318913195,"profunda_modelo_4-no_profunda_modelo_4","PIT"
0.0793650793650796,0.051223040164997,0.107507118565162,2.17936779733918e-13,"profunda_modelo_2-profunda_modelo_1","PIT"
0.1,0.0718579607999175,0.128142039200083,1.31006316905768e-14,"profunda_modelo_3-profunda_modelo_1","PIT"
0.065873015873016,0.0377309766729333,0.0940150550730986,7.46638084692108e-10,"profunda_modelo_4-profunda_modelo_1","PIT"
0.0206349206349206,-0.00750711856516208,0.0487769598350032,0.32630255380784,"profunda_modelo_3-profunda_modelo_2","PIT"
-0.0134920634920637,-0.0416341026921463,0.014649975708019,0.82026682216902,"profunda_modelo_4-profunda_modelo_2","PIT"
-0.0341269841269842,-0.0622690233270669,-0.00598494492690158,0.00647861161553631,"profunda_modelo_4-profunda_modelo_3","PIT"
