"diff","lwr","upr","p.adj","comparacion","equipo"
-0.0200000000000006,-0.0571143686953972,0.017114368695396,0.715117782082655,"no_profunda_modelo_2-no_profunda_modelo_1","NE"
0.094444444444444,0.0573300757490474,0.131558813139841,2.28255192524784e-11,"no_profunda_modelo_3-no_profunda_modelo_1","NE"
0.15,0.112885631304603,0.187114368695396,0,"no_profunda_modelo_4-no_profunda_modelo_1","NE"
-0.0355555555555558,-0.0726699242509524,0.00155881313984082,0.0709741762955431,"profunda_modelo_1-no_profunda_modelo_1","NE"
0.0366666666666665,-0.000447702028730089,0.0737810353620631,0.0553991277724333,"profunda_modelo_2-no_profunda_modelo_1","NE"
0.0711111111111109,0.0339967424157143,0.108225479806508,6.6533745901598e-07,"profunda_modelo_3-no_profunda_modelo_1","NE"
0.0766666666666665,0.0395522979712699,0.113781035362063,6.60306669342248e-08,"profunda_modelo_4-no_profunda_modelo_1","NE"
0.114444444444445,0.077330075749048,0.151558813139841,4.14113188185183e-14,"no_profunda_modelo_3-no_profunda_modelo_2","NE"
0.17,0.132885631304604,0.207114368695397,0,"no_profunda_modelo_4-no_profunda_modelo_2","NE"
-0.0155555555555552,-0.0526699242509518,0.0215588131398414,0.901977505675569,"profunda_modelo_1-no_profunda_modelo_2","NE"
0.0566666666666671,0.0195522979712705,0.0937810353620637,0.000158635329544299,"profunda_modelo_2-no_profunda_modelo_2","NE"
0.0911111111111115,0.0539967424157149,0.128225479806508,1.07597819543059e-10,"profunda_modelo_3-no_profunda_modelo_2","NE"
0.0966666666666671,0.0595522979712705,0.133781035362064,8.04134536736001e-12,"profunda_modelo_4-no_profunda_modelo_2","NE"
0.0555555555555558,0.0184411868601592,0.0926699242509524,0.000232908355230377,"no_profunda_modelo_4-no_profunda_modelo_3","NE"
-0.13,-0.167114368695396,-0.0928856313046032,1.98729921407903e-14,"profunda_modelo_1-no_profunda_modelo_3","NE"
-0.0577777777777775,-0.0948921464731741,-0.0206634090823809,0.000107420795352642,"profunda_modelo_2-no_profunda_modelo_3","NE"
-0.0233333333333331,-0.0604477020287297,0.0137810353620635,0.531050225662657,"profunda_modelo_3-no_profunda_modelo_3","NE"
-0.0177777777777774,-0.0548921464731741,0.0193365909176192,0.820942422651154,"profunda_modelo_4-no_profunda_modelo_3","NE"
-0.185555555555556,-0.222669924250952,-0.148441186860159,0,"profunda_modelo_1-no_profunda_modelo_4","NE"
-0.113333333333333,-0.15044770202873,-0.0762189646379367,4.25215418431435e-14,"profunda_modelo_2-no_profunda_modelo_4","NE"
-0.0788888888888889,-0.116003257584286,-0.0417745201934923,2.55088000722381e-08,"profunda_modelo_3-no_profunda_modelo_4","NE"
-0.0733333333333333,-0.11044770202873,-0.0362189646379366,2.67276698440178e-07,"profunda_modelo_4-no_profunda_modelo_4","NE"
0.0722222222222223,0.0351078535268257,0.109336590917619,4.22574116587526e-07,"profunda_modelo_2-profunda_modelo_1","NE"
0.106666666666667,0.0695522979712701,0.143781035362063,1.06914477271403e-13,"profunda_modelo_3-profunda_modelo_1","NE"
0.112222222222222,0.0751078535268257,0.149336590917619,4.5852210917019e-14,"profunda_modelo_4-profunda_modelo_1","NE"
0.0344444444444444,-0.00266992425095221,0.071558813139841,0.0900384222002308,"profunda_modelo_3-profunda_modelo_2","NE"
0.04,0.00288563130460343,0.0771143686953966,0.0249070012216853,"profunda_modelo_4-profunda_modelo_2","NE"
0.00555555555555565,-0.031558813139841,0.0426699242509522,0.999797459068148,"profunda_modelo_4-profunda_modelo_3","NE"
