"diff","lwr","upr","p.adj","comparacion","equipo"
0.0910256410256411,0.0496500073885552,0.132401274662727,7.66751295788737e-09,"no_profunda_modelo_2-no_profunda_modelo_1","SF"
0.229487179487179,0.188111545850093,0.270862813124265,0,"no_profunda_modelo_3-no_profunda_modelo_1","SF"
0.185897435897437,0.144521802260351,0.227273069534523,0,"no_profunda_modelo_4-no_profunda_modelo_1","SF"
0.0102564102564102,-0.0311192233806757,0.0516320438934961,0.994732797981442,"profunda_modelo_1-no_profunda_modelo_1","SF"
0.0153846153846152,-0.0259910182524707,0.0567602490217011,0.946140153114701,"profunda_modelo_2-no_profunda_modelo_1","SF"
0.206410256410257,0.165034622773171,0.247785890047343,0,"profunda_modelo_3-no_profunda_modelo_1","SF"
0.196153846153847,0.154778212516761,0.237529479790933,0,"profunda_modelo_4-no_profunda_modelo_1","SF"
0.138461538461538,0.0970859048244523,0.179837172098624,3.61932706027801e-14,"no_profunda_modelo_3-no_profunda_modelo_2","SF"
0.0948717948717956,0.0534961612347097,0.136247428508882,1.65949975983182e-09,"no_profunda_modelo_4-no_profunda_modelo_2","SF"
-0.0807692307692309,-0.122144864406317,-0.039393597132145,3.84695438504501e-07,"profunda_modelo_1-no_profunda_modelo_2","SF"
-0.0756410256410259,-0.117016659278112,-0.03426539200394,2.45856034952752e-06,"profunda_modelo_2-no_profunda_modelo_2","SF"
0.115384615384616,0.0740089817475296,0.156760249021701,3.46056516775661e-13,"profunda_modelo_3-no_profunda_modelo_2","SF"
0.105128205128206,0.0637525714911196,0.146503838765291,2.44085862632915e-11,"profunda_modelo_4-no_profunda_modelo_2","SF"
-0.0435897435897425,-0.0849653772268285,-0.00221410995265663,0.0311534028649639,"no_profunda_modelo_4-no_profunda_modelo_3","SF"
-0.219230769230769,-0.260606402867855,-0.177855135593683,0,"profunda_modelo_1-no_profunda_modelo_3","SF"
-0.214102564102564,-0.25547819773965,-0.172726930465478,0,"profunda_modelo_2-no_profunda_modelo_3","SF"
-0.0230769230769227,-0.0644525567140086,0.0182987105601633,0.67799541296287,"profunda_modelo_3-no_profunda_modelo_3","SF"
-0.0333333333333327,-0.0747089669704186,0.00804230030375326,0.21371992808831,"profunda_modelo_4-no_profunda_modelo_3","SF"
-0.175641025641027,-0.217016659278112,-0.134265392003941,0,"profunda_modelo_1-no_profunda_modelo_4","SF"
-0.170512820512822,-0.211888454149907,-0.129137186875736,0,"profunda_modelo_2-no_profunda_modelo_4","SF"
0.0205128205128199,-0.020862813124266,0.0618884541499058,0.793496316716572,"profunda_modelo_3-no_profunda_modelo_4","SF"
0.0102564102564099,-0.031119223380676,0.0516320438934958,0.994732797981443,"profunda_modelo_4-no_profunda_modelo_4","SF"
0.005128205128205,-0.0362474285088809,0.0465038387652909,0.999943180774701,"profunda_modelo_2-profunda_modelo_1","SF"
0.196153846153846,0.154778212516761,0.237529479790932,0,"profunda_modelo_3-profunda_modelo_1","SF"
0.185897435897436,0.144521802260351,0.227273069534522,0,"profunda_modelo_4-profunda_modelo_1","SF"
0.191025641025641,0.149650007388556,0.232401274662727,0,"profunda_modelo_3-profunda_modelo_2","SF"
0.180769230769231,0.139393597132146,0.222144864406317,0,"profunda_modelo_4-profunda_modelo_2","SF"
-0.01025641025641,-0.0516320438934959,0.0311192233806759,0.994732797981442,"profunda_modelo_4-profunda_modelo_3","SF"
