"diff","lwr","upr","p.adj","comparacion","equipo"
0.059821428571428,0.0246264950637155,0.0950163620791406,1.54726536746308e-05,"no_profunda_modelo_2-no_profunda_modelo_1","BAL"
0.175892857142857,0.140697923635144,0.211087790650569,0,"no_profunda_modelo_3-no_profunda_modelo_1","BAL"
0.136607142857143,0.10141220934943,0.171802076364855,0,"no_profunda_modelo_4-no_profunda_modelo_1","BAL"
0.00892857142857117,-0.0262663620791414,0.0441235049362837,0.993929159083243,"profunda_modelo_1-no_profunda_modelo_1","BAL"
0.0491071428571427,0.0139122093494301,0.0843020763648552,0.000819251953549371,"profunda_modelo_2-no_profunda_modelo_1","BAL"
0.1625,0.127305066492288,0.197694933507713,0,"profunda_modelo_3-no_profunda_modelo_1","BAL"
0.166071428571429,0.130876495063716,0.201266362079141,0,"profunda_modelo_4-no_profunda_modelo_1","BAL"
0.116071428571429,0.0808764950637163,0.151266362079141,3.76365605347928e-14,"no_profunda_modelo_3-no_profunda_modelo_2","BAL"
0.0767857142857148,0.0415907807780022,0.111980647793427,1.03173750654051e-08,"no_profunda_modelo_4-no_profunda_modelo_2","BAL"
-0.0508928571428569,-0.0860877906505694,-0.0156979236351443,0.000441048528733168,"profunda_modelo_1-no_profunda_modelo_2","BAL"
-0.0107142857142853,-0.0459092192219979,0.0244806477934272,0.982053193261922,"profunda_modelo_2-no_profunda_modelo_2","BAL"
0.102678571428572,0.0674836379208596,0.137873504936285,7.0832228971085e-14,"profunda_modelo_3-no_profunda_modelo_2","BAL"
0.106250000000001,0.071055066492288,0.141444933507713,4.74065231514942e-14,"profunda_modelo_4-no_profunda_modelo_2","BAL"
-0.039285714285714,-0.0744806477934266,-0.00409078077800148,0.0172558332101962,"no_profunda_modelo_4-no_profunda_modelo_3","BAL"
-0.166964285714286,-0.202159219221998,-0.131769352206573,0,"profunda_modelo_1-no_profunda_modelo_3","BAL"
-0.126785714285714,-0.161980647793427,-0.0915907807780016,7.32747196252603e-15,"profunda_modelo_2-no_profunda_modelo_3","BAL"
-0.0133928571428567,-0.0485877906505692,0.0218020763648559,0.939297442838434,"profunda_modelo_3-no_profunda_modelo_3","BAL"
-0.00982142857142831,-0.0450163620791409,0.0253735049362842,0.989212832917444,"profunda_modelo_4-no_profunda_modelo_3","BAL"
-0.127678571428572,-0.162873504936284,-0.0924836379208591,3.33066907387547e-15,"profunda_modelo_1-no_profunda_modelo_4","BAL"
-0.0875000000000001,-0.122694933507713,-0.0523050664922876,6.28518348477769e-11,"profunda_modelo_2-no_profunda_modelo_4","BAL"
0.0258928571428574,-0.00930207636485517,0.0610877906505699,0.322013140580057,"profunda_modelo_3-no_profunda_modelo_4","BAL"
0.0294642857142857,-0.00573064779342684,0.0646592192219983,0.174037212709628,"profunda_modelo_4-no_profunda_modelo_4","BAL"
0.0401785714285715,0.00498363792085895,0.0753735049362841,0.0134446226365079,"profunda_modelo_2-profunda_modelo_1","BAL"
0.153571428571429,0.118376495063716,0.188766362079142,0,"profunda_modelo_3-profunda_modelo_1","BAL"
0.157142857142857,0.121947923635145,0.19233779065057,0,"profunda_modelo_4-profunda_modelo_1","BAL"
0.113392857142858,0.078197923635145,0.14858779065057,3.98570065840431e-14,"profunda_modelo_3-profunda_modelo_2","BAL"
0.116964285714286,0.0817693522065733,0.152159219221998,3.96349619791181e-14,"profunda_modelo_4-profunda_modelo_2","BAL"
0.00357142857142834,-0.0316235049362842,0.0387663620791409,0.999985472862172,"profunda_modelo_4-profunda_modelo_3","BAL"
