"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"2",0.2,0.2,0.01,20,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"3",0.2,0.2,0.01,40,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"4",0.2,0.2,0.01,60,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"5",0.2,0.2,0.01,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"6",0.2,0.2,0.01,20,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"7",0.2,0.2,0.01,40,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"8",0.2,0.2,0.01,60,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"9",0.2,0.2,0.01,10,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"10",0.2,0.2,0.01,20,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"11",0.2,0.2,0.01,40,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"12",0.2,0.2,0.01,60,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"13",0.2,0.2,0.02,10,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"14",0.2,0.2,0.02,20,0.615894039735099,0.7,0.450980392156863,0.588958143963987
"15",0.2,0.2,0.02,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"16",0.2,0.2,0.02,60,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"17",0.2,0.2,0.02,10,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"18",0.2,0.2,0.02,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"19",0.2,0.2,0.02,40,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"20",0.2,0.2,0.02,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"21",0.2,0.2,0.02,10,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"22",0.2,0.2,0.02,20,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"23",0.2,0.2,0.02,40,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"24",0.2,0.2,0.02,60,0.54,0.595959595959596,0.431372549019608,0.522444048326401
"25",0.2,0.2,0.03,10,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"26",0.2,0.2,0.03,20,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"27",0.2,0.2,0.03,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"28",0.2,0.2,0.03,60,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"29",0.2,0.2,0.03,10,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"30",0.2,0.2,0.03,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"31",0.2,0.2,0.03,40,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"32",0.2,0.2,0.03,60,0.6,0.757575757575758,0.294117647058824,0.550564468211527
"33",0.2,0.2,0.03,10,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"34",0.2,0.2,0.03,20,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"35",0.2,0.2,0.03,40,0.58,0.626262626262626,0.490196078431373,0.565486234898
"36",0.2,0.2,0.03,60,0.553333333333333,0.606060606060606,0.450980392156863,0.536791443850267
"37",0.2,0.2,0.05,10,0.549668874172185,0.65,0.352941176470588,0.517536683547591
"38",0.2,0.2,0.05,20,0.66887417218543,0.74,0.529411764705882,0.646095312297104
"39",0.2,0.2,0.05,40,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"40",0.2,0.2,0.05,60,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"41",0.2,0.2,0.05,10,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"42",0.2,0.2,0.05,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"43",0.2,0.2,0.05,40,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"44",0.2,0.2,0.05,60,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"45",0.2,0.2,0.05,10,0.486666666666667,0.555555555555556,0.352941176470588,0.465054466230937
"46",0.2,0.2,0.05,20,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"47",0.2,0.2,0.05,40,0.58,0.626262626262626,0.490196078431373,0.565486234898
"48",0.2,0.2,0.05,60,0.646666666666667,0.676767676767677,0.588235294117647,0.63722321251733
"49",0.2,0.2,0.06,10,0.576158940397351,0.67,0.392156862745098,0.54610526771415
"50",0.2,0.2,0.06,20,0.682119205298013,0.75,0.549019607843137,0.660379604380384
"51",0.2,0.2,0.06,40,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"52",0.2,0.2,0.06,60,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"53",0.2,0.2,0.06,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"54",0.2,0.2,0.06,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"55",0.2,0.2,0.06,40,0.6,0.757575757575758,0.294117647058824,0.550564468211527
"56",0.2,0.2,0.06,60,0.6,0.757575757575758,0.294117647058824,0.550564468211527
"57",0.2,0.2,0.06,10,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"58",0.2,0.2,0.06,20,0.58,0.626262626262626,0.490196078431373,0.565486234898
"59",0.2,0.2,0.06,40,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"60",0.2,0.2,0.06,60,0.633333333333333,0.666666666666667,0.568627450980392,0.622875816993464
"61",0.2,0.2,0.1,10,0.52317880794702,0.63,0.313725490196078,0.488968099381033
"62",0.2,0.2,0.1,20,0.52317880794702,0.63,0.313725490196078,0.488968099381033
"63",0.2,0.2,0.1,40,0.52317880794702,0.63,0.313725490196078,0.488968099381033
"64",0.2,0.2,0.1,60,0.52317880794702,0.63,0.313725490196078,0.488968099381033
"65",0.2,0.2,0.1,10,0.533333333333333,0.707070707070707,0.196078431372549,0.478827490592196
"66",0.2,0.2,0.1,20,0.52,0.696969696969697,0.176470588235294,0.46448009506833
"67",0.2,0.2,0.1,40,0.52,0.696969696969697,0.176470588235294,0.46448009506833
"68",0.2,0.2,0.1,60,0.52,0.696969696969697,0.176470588235294,0.46448009506833
"69",0.2,0.2,0.1,10,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"70",0.2,0.2,0.1,20,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"71",0.2,0.2,0.1,40,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"72",0.2,0.2,0.1,60,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"73",0.2,0.3,0.01,10,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"74",0.2,0.3,0.01,20,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"75",0.2,0.3,0.01,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"76",0.2,0.3,0.01,60,0.615894039735099,0.7,0.450980392156863,0.588958143963987
"77",0.2,0.3,0.01,10,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"78",0.2,0.3,0.01,20,0.706666666666667,0.838383838383838,0.450980392156863,0.665343632402456
"79",0.2,0.3,0.01,40,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"80",0.2,0.3,0.01,60,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"81",0.2,0.3,0.01,10,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"82",0.2,0.3,0.01,20,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"83",0.2,0.3,0.01,40,0.58,0.626262626262626,0.490196078431373,0.565486234898
"84",0.2,0.3,0.01,60,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"85",0.2,0.3,0.02,10,0.66887417218543,0.74,0.529411764705882,0.646095312297104
"86",0.2,0.3,0.02,20,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"87",0.2,0.3,0.02,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"88",0.2,0.3,0.02,60,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"89",0.2,0.3,0.02,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"90",0.2,0.3,0.02,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"91",0.2,0.3,0.02,40,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"92",0.2,0.3,0.02,60,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"93",0.2,0.3,0.02,10,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"94",0.2,0.3,0.02,20,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"95",0.2,0.3,0.02,40,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"96",0.2,0.3,0.02,60,0.553333333333333,0.606060606060606,0.450980392156863,0.536791443850267
"97",0.2,0.3,0.03,10,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"98",0.2,0.3,0.03,20,0.615894039735099,0.7,0.450980392156863,0.588958143963987
"99",0.2,0.3,0.03,40,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"100",0.2,0.3,0.03,60,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"101",0.2,0.3,0.03,10,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"102",0.2,0.3,0.03,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"103",0.2,0.3,0.03,40,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"104",0.2,0.3,0.03,60,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"105",0.2,0.3,0.03,10,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"106",0.2,0.3,0.03,20,0.58,0.626262626262626,0.490196078431373,0.565486234898
"107",0.2,0.3,0.03,40,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"108",0.2,0.3,0.03,60,0.54,0.595959595959596,0.431372549019608,0.522444048326401
"109",0.2,0.3,0.05,10,0.562913907284768,0.66,0.372549019607843,0.53182097563087
