"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.723505675629944,0.10731801066082,0.726264603054151,28,26,7
"2",0.745333847502822,0.0529702283433871,0.798693458954804,34,30,4
"3",0.758562200948655,0.1494615133974,0.837495653764345,41,32,5
"4",0.73611207596318,0.0735908537214855,0.680325941168703,27,19,7
"5",0.779430904779202,0.0358035231592366,0.71025361134205,17,12,4
"6",0.744118172810904,0.0906642433004454,0.667258995505981,35,40,7
"7",0.735359444155564,0.0614690808554878,0.57852640166413,31,23,6
"8",0.7491554639759,0.0431684362873202,0.655767411170527,44,18,3
"9",0.73478131760668,0.195808911613422,0.868204596955329,23,29,9
"10",0.744482322275426,0.132239317233441,0.622812177715823,19,10,6
"11",0.714772966793416,0.0783980447718641,0.518284626170062,43,9,8
"12",0.736889381320193,0.183177822636557,0.854230710896663,30,6,7
"13",0.733429707400779,0.157377462609904,0.523946449453943,16,34,3
"14",0.74843208313469,0.17797702332167,0.775103465537541,46,16,5
"15",0.727733035651928,0.101508083891822,0.607117515695281,21,24,9
"16",0.721410398756749,0.0185792445528787,0.747990925484337,37,38,5
"17",0.718663478347653,0.0216040001446381,0.898604978634976,50,14,9
"18",0.725743427981162,0.134895479638013,0.542776806191541,38,7,3
"19",0.736296957494516,0.170535290040658,0.595987507458776,48,36,8
"20",0.739909146400735,0.11572553114302,0.811907344907522,24,22,5
"21",0.770444714816765,0.0606255287713379,0.711234607299708,21,12,3
"22",0.747434759162656,0.0345465047796281,0.763266776057879,15,13,4
"23",0.754727474976679,0.070390876151239,0.699448057867232,16,12,4
"24",0.75288806192142,0.0292166038556643,0.715715536944411,23,12,4
"25",0.725097256596925,0.0525579878794884,0.708534740712395,16,12,7
"26",0.779464998711054,0.044925027684828,0.708477435691119,19,12,4
"27",0.728329241047108,0.0391912878328817,0.706801553060807,15,14,4
"28",0.744364955179913,0.166162940408094,0.649799937104806,16,31,6
"29",0.747381590508502,0.0294496468197717,0.817980540917162,41,15,9
"30",0.747096312865669,0.132171882094787,0.60884336577896,49,9,5
"31",0.746004225162364,0.188482936235418,0.709501935135876,20,12,4
"32",0.72031226832586,0.18488345876789,0.834356564599994,34,32,6
"33",0.744653121489124,0.167076170369927,0.684716829503514,15,9,4
"34",0.735106735944621,0.0882486232543364,0.553525166144315,16,8,6
"35",0.754043948303604,0.0395197355657173,0.736867183371373,18,12,4
"36",0.761582968033237,0.108083702695938,0.70556599209467,21,24,4
"37",0.712092252575011,0.136212667356629,0.646255170472991,29,5,6
"38",0.750062764828543,0.17078470044693,0.770371004407294,43,36,4
"39",0.732955310200341,0.138060171853588,0.510412552321609,24,14,5
"40",0.731970348597811,0.0671064905854012,0.843499957136717,39,20,4
"41",0.733463308482421,0.113545076473753,0.628791342616361,27,19,3
"42",0.738304105705502,0.0810760318586859,0.787590291477647,48,18,9
"43",0.720379423128879,0.103556380606855,0.635103364465106,31,6,5
"44",0.741256294316481,0.1894410241452,0.64470241686888,49,25,4
"45",0.749835042203524,0.166275780389027,0.787111037751939,15,33,5
"46",0.746680542656202,0.0325140108666243,0.527719151816983,23,35,4
"47",0.734011940416738,0.134546453946279,0.718885950681753,44,30,6
"48",0.756467961256818,0.0774936637569661,0.528116475017648,35,27,7
"49",0.75081899863181,0.0422946299644257,0.529313825246319,41,9,3
