"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.755715213905551,0.0431684362873202,0.555767411170527,21,16,5
"2",0.736379483156657,0.129308911613422,0.608204596955329,25,21,4
"3",0.723470218577296,0.0847393172334414,0.822812177715823,34,14,4
"4",0.703694264243745,0.182898044771864,0.698284626170061,36,37,7
"5",0.711233079559389,0.135677822636557,0.634230710896663,28,24,8
"6",0.758578734162079,0.0623774626099039,0.703946449453942,27,30,3
"7",0.724455917711264,0.0924770233216695,0.895103465537541,22,27,6
"8",0.750107493612591,0.035008083891822,0.747117515695281,44,35,6
"9",0.727388647114763,0.113579244552879,0.847990925484337,40,18,9
"10",0.721592150564145,0.0691040001446381,0.538604978634976,31,19,4
"11",0.725583193593801,0.144395479638013,0.782776806191541,37,25,5
"12",0.699543203949902,0.180035290040658,0.655987507458776,32,6,8
"13",0.727020566505039,0.0112255311430199,0.811907344907522,49,11,7
"14",0.691223552850193,0.117475686450722,0.507622390114702,38,40,5
"15",0.726268182460591,0.0568793930035317,0.676728471242823,15,33,7
"16",0.718283239828498,0.103810435538064,0.875183230433613,19,7,8
"17",0.753183015536533,0.190654822055134,0.779818939338438,47,30,9
"18",0.73629862498421,0.157370465387474,0.583255940349773,45,8,3
"19",0.707427138473457,0.022948022865341,0.573113074256107,42,12,9
"20",0.74480240767873,0.170800040790462,0.726393297812901,17,33,3
"21",0.707898980506261,0.0110538431969322,0.696626120315707,23,29,3
"22",0.703831809924958,0.0377022970910929,0.502658014968224,36,37,5
"23",0.727429876389832,0.0492930731645246,0.578240859612343,40,30,6
"24",0.73710712797222,0.0235293282650634,0.704902837525203,40,29,3
"25",0.734060579316777,0.0768700561109581,0.658822111767996,38,27,8
"26",0.734193788146812,0.0957240718093514,0.897011381578539,33,20,7
"27",0.729076642011701,0.136880517202175,0.671546671035882,27,31,4
"28",0.748531434503806,0.0902866199385658,0.705614229391981,28,23,3
"29",0.736684089204461,0.0574356169831909,0.738403476327419,27,40,3
"30",0.742689812572716,0.179404981480696,0.698241483780177,27,27,3
"31",0.72505623904898,0.0270803448438087,0.557583721409931,25,26,5
"32",0.71717111626507,0.0567451548540476,0.761757440843154,28,40,8
"33",0.741736673341239,0.174036021067778,0.805550131301709,27,30,5
"34",0.726119375362362,0.0242976141749881,0.852606399349123,31,23,6
"35",0.730377311951673,0.0124309978661457,0.704997644914739,27,21,3
"36",0.751242025824257,0.11178157692086,0.6896970519937,21,16,3
"37",0.730372416161189,0.0726450356689706,0.566177421140314,21,16,3
"38",0.724192393152872,0.0526134244471439,0.714421623891685,41,40,9
"39",0.720970049061643,0.0879075249474557,0.704285313964752,30,32,3
"40",0.739970832304546,0.0567980349620432,0.821184182773251,32,33,6
"41",0.736586371291172,0.066640514960119,0.823728423520923,42,13,7
"42",0.710442968033831,0.145103680123675,0.791856517078541,26,19,5
"43",0.742502117362371,0.0867523302565445,0.898866504220758,35,19,4
"44",0.71599730872723,0.0538122751413588,0.68417912378069,29,6,3
"45",0.753733038103006,0.136691683291795,0.87155662360359,35,36,6
"46",0.757150436541847,0.183799540821959,0.694531408908218,40,30,4
"47",0.746580625947954,0.0953121233893256,0.758607368357759,28,23,5
"48",0.719806852440935,0.0941144221479469,0.76538541777106,28,15,6
"49",0.741346320038775,0.186779774197226,0.740574022150286,40,30,6
"50",0.750369477367341,0.0954252734460286,0.658210847349558,24,30,3
"51",0.720077060565104,0.185858022309779,0.747467401020601,19,34,7
"52",0.730876866393125,0.13408030045571,0.6176605136008,37,32,4
"53",0.749532863279969,0.0910148557103192,0.828564172024932,26,20,5
"54",0.728037776038271,0.119846519169312,0.706770732608477,34,30,3
"55",0.733273661550454,0.0609014389711049,0.752009057959852,34,30,3
"56",0.731271105181625,0.137223426805511,0.849793355695345,37,19,8
