"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.778688414541245,0.139939145681681,0.71026834233664,31,20,4
"2",0.775776331206547,0.13247519309842,0.613635838571936,27,16,7
"3",0.772369184335469,0.108004847364034,0.752648597666994,40,23,9
"4",0.771752290054657,0.0473051651980495,0.738061567479745,30,11,8
"5",0.791746732194229,0.181777484929189,0.504429473988712,43,39,8
"6",0.771315658288806,0.0726152696962235,0.822937851869501,35,36,4
"7",0.780288781679026,0.080283803625498,0.597969031664543,20,18,7
"8",0.780529184284106,0.0365094124643365,0.682580065564252,50,30,6
"9",0.78843481940874,0.11681801066082,0.526264603054151,33,21,6
"10",0.77611753922193,0.0529702283433871,0.858693458954804,48,12,5
"11",0.772978081280214,0.0259615133974003,0.797495653764345,23,28,6
"12",0.764500510312368,0.102090853721485,0.760325941168703,16,7,9
"13",0.777676729737772,0.149803523159237,0.63025361134205,45,39,4
"14",0.809242960056465,0.176164243300445,0.807258995505981,17,25,3
"15",0.790301723623741,0.156469080855488,0.67852640166413,44,14,3
"16",0.77275791807508,0.0621684362873202,0.655767411170527,39,27,9
"17",0.77323803271478,0.167308911613422,0.888204596955329,37,32,7
"18",0.780875833173335,0.0942393172334414,0.562812177715823,21,33,3
"19",0.796862681163639,0.0118980447718641,0.878284626170062,25,5,5
"20",0.768257073919031,0.192677822636557,0.554230710896663,28,9,8
"21",0.780124027348402,0.191196616943022,0.876038196277316,21,24,3
"22",0.788772475042381,0.173853036994575,0.797071156799463,16,25,3
"23",0.777569294560905,0.176456223026737,0.741354009409307,16,29,3
"24",0.78712116455926,0.144194585522849,0.828167975652032,46,29,3
"25",0.795846140636396,0.0901553505782294,0.516959458678775,33,29,6
"26",0.783210576650507,0.0560718498529866,0.535767689017486,27,15,6
"27",0.778663799791986,0.166894523782394,0.809631321901973,19,25,3
"28",0.774066184132408,0.109161704857042,0.678788221838139,28,31,7
"29",0.786567116859425,0.0362450842411211,0.517498104133736,25,35,7
"30",0.78555670260928,0.0809236453553894,0.569748844533414,34,18,8
"31",0.804092916066837,0.132987620891957,0.779381939066015,15,26,5
"32",0.768617926774638,0.187223762092683,0.867900669734553,36,34,9
"33",0.786441328706923,0.0843842588903988,0.73592305070702,50,12,8
"34",0.806780764074226,0.104425735222616,0.690593146096636,27,35,3
"35",0.767286596321071,0.1499087777244,0.691633291157428,18,33,6
"36",0.771216413152886,0.0102780016586184,0.772151152869035,44,21,7
"37",0.779723615332658,0.135630694802366,0.698858351286314,15,39,6
"38",0.796382113821138,0.151813839863404,0.54250935849594,21,25,8
"39",0.757942052548191,0.0700533135558525,0.834854020766262,21,6,4
"40",0.770635801297668,0.0393078049114905,0.789395077303425,43,9,6
"41",0.764113720965669,0.0925392704136204,0.5143624506386,27,9,7
"42",0.778450621566071,0.114255620487904,0.809409853933436,17,25,6
"43",0.77543984254584,0.180859567529475,0.530454373908974,16,25,8
"44",0.773701300692225,0.0181959740636824,0.727326193777099,28,11,8
"45",0.786649662219043,0.072777436591587,0.892906030861661,49,26,6
"46",0.768534377463302,0.0131716469662008,0.876379846148752,16,36,9
"47",0.771119337354434,0.125443444520812,0.637559909510799,36,28,9
