"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.693809354703821,0.0490768757186597,0.813875481518917,31,39,7
"2",0.691722867967418,0.138284990431974,0.734323206651025,39,26,3
"3",0.696598308453709,0.101740181968431,0.629819459579885,40,25,8
"4",0.679333254428904,0.0669109843575861,0.568355959695764,16,28,7
"5",0.696049971270559,0.0949048727659974,0.749828286920674,30,21,4
"6",0.674172678707025,0.189779718545382,0.651176656028256,19,24,9
"7",0.689358444431961,0.0755091946845641,0.717345931017771,27,13,6
"8",0.683575261376679,0.0465258293871302,0.54399588373024,47,10,6
"9",0.701687927937054,0.14850744365179,0.764584889761172,21,33,4
"10",0.691851392813836,0.177939145681681,0.61026834233664,36,15,5
"11",0.669543157797926,0.11347519309842,0.833635838571936,50,18,5
"12",0.689125537558142,0.0130048473640345,0.852648597666994,42,16,8
"13",0.681528956663185,0.0853051651980495,0.538061567479745,26,39,4
"14",0.672906539296944,0.153277484929189,0.664429473988712,45,31,7
"15",0.716872756546392,0.129615269696224,0.862937851869501,22,19,8
"16",0.704548090976475,0.165783803625498,0.897969031664543,36,6,3
"17",0.67289029290729,0.0270094124643365,0.502580065564252,25,11,5
"18",0.6804517472883,0.0313180106608197,0.686264603054151,33,33,9
"19",0.696727267823358,0.195470228343387,0.598693458954804,18,7,6
"20",0.681903035416277,0.1209615133974,0.797495653764345,48,36,3
"21",0.707296730307348,0.135419785701612,0.875937526160103,22,17,8
"22",0.679598636583054,0.169168052399234,0.859677761214683,19,29,7
"23",0.691118750530515,0.110078977203633,0.80955668006066,22,20,7
"24",0.708760771768941,0.126303061460194,0.866045867802952,23,23,8
"25",0.700793150862273,0.121476312152125,0.842852712745813,22,20,8
"26",0.69945019557867,0.0818941968060494,0.799141153803468,17,18,5
"27",0.707654771897939,0.128789589424026,0.828359898470435,19,33,6
"28",0.721148231789741,0.154565156783537,0.720744143633135,22,18,8
"29",0.692414181960378,0.154703791357501,0.728529705793434,15,21,8
"30",0.693440294439594,0.153986157198458,0.718696747525065,18,17,8
"31",0.676058642900415,0.171671297793917,0.678035294447653,23,15,8
"32",0.699477366608796,0.153562387768505,0.806608894994931,23,18,7
"33",0.696973714530287,0.153038346039483,0.747136847513262,15,38,4
"34",0.690826873732067,0.116545936288249,0.898231964271981,22,18,8
"35",0.702250296746264,0.191311671955506,0.851215742080007,33,5,6
"36",0.677487122244182,0.030985110370107,0.571388004238065,21,29,6
"37",0.683970572483907,0.167945301927086,0.69411203696942,30,8,3
"38",0.718431543614776,0.177236466945647,0.853758018120565,20,10,9
"39",0.702879909636256,0.153053875562382,0.723429867126542,22,21,8
"40",0.689942625915395,0.0373262310519372,0.778757565206755,36,38,6
"41",0.718146287379108,0.0763769658346381,0.675952351432573,22,15,6
"42",0.693625162770839,0.190191043922971,0.836216897704359,16,12,6
"43",0.673463380324158,0.0143169414100866,0.595678556294087,37,35,6
"44",0.722009894560619,0.130417115021937,0.674130409427453,39,6,5
"45",0.72768362909747,0.156632822776758,0.630800144424569,41,10,3
"46",0.693841351890329,0.132431511578509,0.625613401287049,50,9,7
"47",0.6903321110816,0.0123089598319726,0.747843210905045,18,18,7
"48",0.702619999560038,0.0827065743803908,0.833418189188279,26,27,9
"49",0.704275702954173,0.127582227941214,0.858306976941694,23,39,7
"50",0.690720020926894,0.100253506392427,0.853827006470598,23,12,4
"51",0.730545955431536,0.197729379114718,0.843786357289832,18,22,4
"52",0.672403864507336,0.115703320132797,0.566303635301627,31,8,5
"53",0.693933332147917,0.198304906522583,0.843020338442908,18,30,4
"54",0.695183530875701,0.0871946165106911,0.505865529467817,46,30,9
"55",0.672320500381321,0.0309368723434838,0.750955716045201,31,22,6
"56",0.672305280392432,0.02749225885008,0.648652924623806,33,25,3
"57",0.711576653717508,0.172121623375034,0.852204470790084,49,10,8
"58",0.686326330478071,0.169377664875891,0.585885457821935,29,39,7
"59",0.710277053706513,0.121640469745621,0.650972271884326,30,30,3
"60",0.676736502216626,0.156632100311523,0.571105739853462,37,33,9
"61",0.672239914665726,0.0142724455143791,0.576569150105212,33,10,3
"62",0.678621715296053,0.0801032556356094,0.574600954381842,26,16,8
"63",0.67940729283097,0.142785851825138,0.563497385677416,36,25,8
"64",0.718363927519525,0.0984284039559285,0.877992470579501,38,17,8
"65",0.694595591703819,0.105501967562668,0.704615332601871,20,31,6
"66",0.715001558416991,0.187350894197128,0.592479495829344,38,13,3
"67",0.691369413161682,0.084537920548392,0.894379971179552,46,21,5
"68",0.641351780966924,0.0326026760658133,0.520334078517649,48,40,9
"69",0.689330579532344,0.166031732457113,0.896783233036008,37,27,3
"70",0.671842292670616,0.0797176555691543,0.699685460364167,41,33,4
"71",0.67358210010659,0.171916224075977,0.777332944163214,24,31,5
"72",0.703301258983217,0.134956513717729,0.726018906522449,33,36,6
"73",0.680109125608308,0.153518033681388,0.625059063692857,42,37,9
"74",0.690058628506982,0.1866560411561,0.636523413355183,21,40,4
"75",0.690665938630732,0.0241256123098521,0.782044482646603,22,32,4
"76",0.717371190178926,0.14472134110111,0.781405037189461,33,21,5
"77",0.693166735366769,0.11962673711471,0.780594676931296,40,18,8
"78",0.715445001032541,0.107086552627021,0.735470000098553,37,16,6
"79",0.705898427510296,0.0438799786618911,0.612816321112495,27,8,5
"80",0.712521090245368,0.0700382609673217,0.550039153023343,48,15,7
"81",0.70068632893335,0.13550930389378,0.680661867698934,20,22,7
"82",0.687066689624082,0.167120483903661,0.787473131173663,32,32,4
"83",0.698534082209845,0.155871767001329,0.653343118038564,40,10,3
"84",0.669644762397184,0.0851103229990578,0.864474724538997,49,30,3
