"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.732898851148851,0.0547009658792522,0.776896482920274,26,15,9
"2",0.729442518640393,0.0673716124937637,0.631594618214294,35,13,7
"3",0.709762841195128,0.0171577858976088,0.81355609617196,32,26,5
"4",0.747631126308601,0.124037991196266,0.757842511786148,30,26,3
"5",0.757379809417784,0.179560314778006,0.566325994450599,48,29,6
"6",0.751912243716921,0.139127167193103,0.598537189890631,23,5,6
"7",0.741288402877382,0.182806144538103,0.60163681037724,38,37,5
"8",0.734539719532415,0.105708819600753,0.671821620413102,44,17,6
"9",0.720298221673131,0.0618096579179401,0.507965902369469,38,20,8
"10",0.729972120523299,0.09359379941714,0.795809289398603,18,33,5
"11",0.736072667170228,0.0450249562828103,0.844880022443831,33,39,9
"12",0.738407237236141,0.080304741139058,0.710463638617657,25,11,8
"13",0.741309579258528,0.145750020007137,0.65360318609979,18,17,4
"14",0.728720047230315,0.19157687571866,0.873875481518917,20,24,7
"15",0.746909311060691,0.0242849904319737,0.734323206651025,41,8,5
"16",0.741356864802126,0.168240181968431,0.689819459579885,49,38,9
"17",0.739094194440163,0.123910984357586,0.528355959695764,47,21,3
"18",0.747637393857366,0.0379048727659974,0.829828286920674,43,34,4
"19",0.739689827407851,0.161279718545382,0.891176656028256,28,8,3
"20",0.740007319411289,0.104009194684564,0.557345931017771,15,31,7
"21",0.751069957702248,0.175955060947046,0.65159184442471,46,28,3
"22",0.73027930692736,0.191143960493672,0.594360960464562,50,29,7
"23",0.706203646328328,0.177950223045513,0.539550860204522,50,28,6
"24",0.73125347953751,0.0603223098486033,0.626133866150398,50,30,6
"25",0.73101073594415,0.179617403187654,0.658824404958559,46,16,5
"26",0.739782159803413,0.150298069835108,0.56531409923737,41,29,8
"27",0.745948681672009,0.195537677298751,0.567842540087039,48,35,6
"28",0.726541220741238,0.021321240150393,0.519735614104942,27,15,4
"29",0.717820101056003,0.0213311719827703,0.689177315942943,21,23,3
"30",0.737713213178484,0.0409388592186151,0.662616489609797,47,39,3
"31",0.722647101580886,0.134984652360573,0.751710697370861,32,19,6
"32",0.72104453042078,0.136801807716091,0.547324644491728,32,11,5
"33",0.720860749294521,0.152300780649425,0.555110335935559,48,16,9
"34",0.713158998185265,0.0577552741046227,0.643573588482849,43,27,8
"35",0.734905982377503,0.132181947351504,0.566311270760361,49,13,6
"36",0.735338058598707,0.188576648762895,0.567019035720371,42,29,7
"37",0.747502004667775,0.0830580019740201,0.85611173279006,17,7,8
"38",0.743895331066826,0.170901167997462,0.655275297656469,15,8,6
"39",0.727139570212564,0.179515679786728,0.699357961329563,46,31,6
"40",0.739265291926536,0.0427184740032582,0.738450019618869,24,13,5
"41",0.723948707804277,0.0447273535366147,0.538023326143157,46,17,5
"42",0.736187580638803,0.0144634695213148,0.548429079259746,46,35,8
"43",0.741446140377057,0.0489421819512802,0.534065187927894,24,38,4
"44",0.737435353535551,0.18071178694614,0.627295229446795,45,37,3
"45",0.751738396620905,0.102057749155441,0.824438198897149,41,28,9
"46",0.724191428577956,0.095493229689463,0.569008746883273,50,25,7
"47",0.735141303295797,0.102754503416859,0.735736309105437,48,21,8
"48",0.726064359763044,0.179849286237571,0.693051340416819,48,36,7
"49",0.740192668541629,0.0700333960852982,0.770026606960036,29,28,6
"50",0.740370855730051,0.0720354436729755,0.725114323280472,34,20,5
"51",0.719129994523281,0.192563859188217,0.846610514463671,21,25,4
"52",0.732064153173038,0.0164132342606131,0.796321310243849,40,9,4
"53",0.73552605512891,0.198446384847779,0.821440573451947,17,24,5
"54",0.739694332621752,0.118032766708103,0.775097780841775,30,20,4
"55",0.720563656415149,0.120560310564316,0.899346757008973,43,37,4
"56",0.733272284258234,0.134803550253562,0.665555864306167,31,8,9
"57",0.752538707159886,0.120351571540597,0.602136677274946,28,10,8
"58",0.726034161301683,0.147711161659125,0.650245602157246,37,24,3
"59",0.744805011749959,0.0687470003649104,0.729651892498508,15,33,6
"60",0.709338532218149,0.0693193179879594,0.857845759687945,29,17,7
"61",0.731092595671673,0.161470686631463,0.837057291740179,36,39,6
"62",0.738361576738633,0.0226661476492183,0.693381152607687,44,17,4
"63",0.766019437084654,0.107898762874366,0.852032291763835,27,8,4
"64",0.742849618275853,0.0832374009333667,0.846385768908821,37,22,8
"65",0.74521355694046,0.0752874373119441,0.789283265686594,20,32,7
"66",0.747556825514143,0.129741177441475,0.608376461911108,50,17,6
"67",0.727207098457098,0.0220227399411635,0.677154068211839,43,23,6
"68",0.723857376099383,0.110804339444009,0.588435647382587,30,27,9
"69",0.73986066610513,0.125123591161412,0.767523339493945,18,6,4
"70",0.756207380597246,0.0278615336766816,0.879860388865322,17,8,8
"71",0.736265723190879,0.038511776436097,0.580722337344941,36,16,9
"72",0.719134549109738,0.050734150403582,0.821522279122006,34,36,9
"73",0.747371717077661,0.0608076396069163,0.889655597971659,35,34,6
"74",0.732711594122464,0.145438082774938,0.585822062065825,40,36,5
"75",0.73093362741986,0.113533794862737,0.790285488588084,47,12,9
"76",0.758859530126825,0.0940461745710694,0.701458082991466,20,5,4
"77",0.745170925156881,0.137069408166783,0.662366772241984,17,26,6
"78",0.722265221112869,0.166935970629011,0.630138801202457,33,27,9
"79",0.712130386376038,0.166711908070629,0.797002723609563,33,12,6
"80",0.723702537927883,0.0464871513911081,0.836460972052626,31,20,4
"81",0.751563867898241,0.167691007278196,0.629127228119504,37,11,5
"82",0.734949817204363,0.17956624276543,0.502191148491437,48,12,7
"83",0.74410890452778,0.0933573625127925,0.529455141710024,35,27,7
"84",0.746048768181225,0.153665795814721,0.633775275604893,27,16,7
"85",0.736371013523265,0.128368362081889,0.806165005631652,22,22,9
"86",0.7306054216694,0.104662709584918,0.787142956382874,38,33,8
"87",0.757902210841164,0.190789752906738,0.849069250786078,27,7,4
"88",0.731963217307916,0.137683319276923,0.871120416886266,29,33,8
