"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.686221722332036,0.0431684362873202,0.555767411170527,21,16,5
"2",0.684016421919271,0.129308911613422,0.608204596955329,25,21,4
"3",0.697525998305906,0.0847393172334414,0.822812177715823,34,14,4
"4",0.678437713938057,0.182898044771864,0.698284626170061,36,37,7
"5",0.707921212295461,0.135677822636557,0.634230710896663,28,24,8
"6",0.678277382732665,0.0623774626099039,0.703946449453942,27,30,3
"7",0.705851218494977,0.0924770233216695,0.895103465537541,22,27,6
"8",0.697783260295289,0.035008083891822,0.747117515695281,44,35,6
"9",0.691037440498288,0.113579244552879,0.847990925484337,40,18,9
"10",0.673772475513639,0.0691040001446381,0.538604978634976,31,19,4
"11",0.687438209882277,0.144395479638013,0.782776806191541,37,25,5
"12",0.666851686112728,0.180035290040658,0.655987507458776,32,6,8
"13",0.707988470490264,0.0112255311430199,0.811907344907522,49,11,7
"14",0.710967043145965,0.117475686450722,0.507622390114702,38,40,5
"15",0.674700434459063,0.0568793930035317,0.676728471242823,15,33,7
"16",0.693368586231146,0.103810435538064,0.875183230433613,19,7,8
"17",0.689089640686037,0.190654822055134,0.779818939338438,47,30,9
"18",0.69445505646346,0.157370465387474,0.583255940349773,45,8,3
"19",0.658830123416332,0.022948022865341,0.573113074256107,42,12,9
"20",0.704641439677249,0.170800040790462,0.726393297812901,17,33,3
"21",0.71422124232141,0.117006050819992,0.513339256900719,45,38,5
"22",0.692572211109754,0.115557606712138,0.50716651819563,46,39,4
"23",0.712198597340731,0.113981584158014,0.563591529621018,50,28,5
"24",0.678985990480419,0.118757533940982,0.575400881068596,50,35,5
"25",0.706681577922478,0.0950784464199818,0.853752752383705,27,40,9
"26",0.677588578262438,0.11712226313513,0.51674513982554,34,26,7
"27",0.684039813431026,0.0668503499686299,0.892007104938477,36,37,9
"28",0.658125978604239,0.0191962547422433,0.517030369376484,31,40,4
"29",0.652640585088977,0.151210768984107,0.781428863065504,17,5,6
"30",0.713610066149474,0.0167981845531752,0.865532009856962,39,27,3
"31",0.722779709970112,0.147469086406105,0.673191191693768,30,30,5
"32",0.701992538984124,0.0271485959366616,0.643320121905673,49,27,6
"33",0.685027737959157,0.0971142359631741,0.814832242433168,50,14,5
"34",0.703057553476822,0.147384395161594,0.671141293901048,36,28,5
"35",0.69826620167374,0.065261426780317,0.579884357592929,30,11,6
"36",0.693467212481382,0.106300219066136,0.837451759985834,20,6,4
"37",0.671534169501695,0.0961290279316786,0.675920080726873,29,10,7
"38",0.701827240761498,0.14744077771446,0.695735253060598,31,31,5
"39",0.705271524648078,0.0783208896873495,0.800568359156326,23,6,7
"40",0.691229944972879,0.0888878281712648,0.89318232407365,41,12,4
"41",0.672489022572291,0.198584656792786,0.692827630670182,23,28,6
"42",0.697864168383827,0.19363555039336,0.587301659516245,41,28,7
"43",0.678885144720186,0.128360949110414,0.793484241737425,21,14,8
"44",0.673600128672481,0.0601741023447574,0.660304311900679,41,39,9
"45",0.714855201184193,0.184682147455046,0.770549569400493,28,29,6
"46",0.710687720814537,0.151837947214557,0.672777228507365,29,37,5
"47",0.712882318650308,0.0902950129221496,0.879273080871627,36,36,5
"48",0.698482906045953,0.155888058959108,0.870259142734297,18,30,6
"49",0.702971748288578,0.063505304562028,0.831478983718064,37,19,5
"50",0.6810707043466,0.0197365804468351,0.709963687997405,39,39,8
"51",0.716035710932318,0.159908707603302,0.651871691761538,31,8,3
"52",0.680010755656907,0.0738393740504305,0.568912719300482,26,7,7
