"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"HOU","azar",4170,0.505882352941176,0.596153846153846,0.363636363636364,0.488557520910462,0.596153846153846,0.596153846153846
"HOU","azar",3951,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",5491,0.411764705882353,0.519230769230769,0.242424242424242,0.391139905845788,0.519230769230769,0.519230769230769
"HOU","azar",1762,0.552941176470588,0.634615384615385,0.424242424242424,0.537266328442799,0.634615384615385,0.634615384615385
"HOU","azar",3409,0.6,0.673076923076923,0.484848484848485,0.585975135975136,0.673076923076923,0.673076923076923
"HOU","azar",3980,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",1383,0.505882352941176,0.596153846153846,0.363636363636364,0.488557520910462,0.596153846153846,0.596153846153846
"HOU","azar",768,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",1058,0.435294117647059,0.538461538461538,0.272727272727273,0.415494309611957,0.538461538461538,0.538461538461538
"HOU","azar",8585,0.505882352941176,0.596153846153846,0.363636363636364,0.488557520910462,0.596153846153846,0.596153846153846
"HOU","azar",564,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",2478,0.552941176470588,0.634615384615385,0.424242424242424,0.537266328442799,0.634615384615385,0.634615384615385
"HOU","azar",9481,0.529411764705882,0.615384615384615,0.393939393939394,0.512911924676631,0.615384615384615,0.615384615384615
"HOU","azar",5701,0.552941176470588,0.634615384615385,0.424242424242424,0.537266328442799,0.634615384615385,0.634615384615385
"HOU","azar",8455,0.576470588235294,0.653846153846154,0.454545454545455,0.561620732208968,0.653846153846154,0.653846153846154
"HOU","azar",6401,0.505882352941176,0.596153846153846,0.363636363636364,0.488557520910462,0.596153846153846,0.596153846153846
"HOU","azar",3291,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",9579,0.482352941176471,0.576923076923077,0.333333333333333,0.464203117144294,0.576923076923077,0.576923076923077
"HOU","azar",1438,0.552941176470588,0.634615384615385,0.424242424242424,0.537266328442799,0.634615384615385,0.634615384615385
"HOU","azar",3142,0.623529411764706,0.692307692307692,0.515151515151515,0.610329539741304,0.692307692307692,0.692307692307692
