"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"DEN","azar",4170,0.5625,0.65,0.416666666666667,0.543055555555556,0.65,0.65
"DEN","azar",3951,0.541666666666667,0.633333333333333,0.388888888888889,0.521296296296296,0.633333333333333,0.633333333333333
"DEN","azar",5491,0.583333333333333,0.666666666666667,0.444444444444444,0.564814814814815,0.666666666666667,0.666666666666667
"DEN","azar",1762,0.520833333333333,0.616666666666667,0.361111111111111,0.499537037037037,0.616666666666667,0.616666666666667
"DEN","azar",3409,0.520833333333333,0.616666666666667,0.361111111111111,0.499537037037037,0.616666666666667,0.616666666666667
"DEN","azar",3980,0.520833333333333,0.616666666666667,0.361111111111111,0.499537037037037,0.616666666666667,0.616666666666667
"DEN","azar",1383,0.479166666666667,0.583333333333333,0.305555555555556,0.456018518518519,0.583333333333333,0.583333333333333
"DEN","azar",768,0.4375,0.55,0.25,0.4125,0.55,0.55
"DEN","azar",1058,0.479166666666667,0.583333333333333,0.305555555555556,0.456018518518519,0.583333333333333,0.583333333333333
"DEN","azar",8585,0.604166666666667,0.683333333333333,0.472222222222222,0.586574074074074,0.683333333333333,0.683333333333333
"DEN","azar",564,0.604166666666667,0.683333333333333,0.472222222222222,0.586574074074074,0.683333333333333,0.683333333333333
"DEN","azar",2478,0.520833333333333,0.616666666666667,0.361111111111111,0.499537037037037,0.616666666666667,0.616666666666667
"DEN","azar",9481,0.5625,0.65,0.416666666666667,0.543055555555556,0.65,0.65
"DEN","azar",5701,0.5,0.6,0.333333333333333,0.477777777777778,0.6,0.6
"DEN","azar",8455,0.583333333333333,0.666666666666667,0.444444444444444,0.564814814814815,0.666666666666667,0.666666666666667
"DEN","azar",6401,0.458333333333333,0.566666666666667,0.277777777777778,0.434259259259259,0.566666666666667,0.566666666666667
"DEN","azar",3291,0.5625,0.65,0.416666666666667,0.543055555555556,0.65,0.65
"DEN","azar",9579,0.520833333333333,0.616666666666667,0.361111111111111,0.499537037037037,0.616666666666667,0.616666666666667
"DEN","azar",1438,0.479166666666667,0.583333333333333,0.305555555555556,0.456018518518519,0.583333333333333,0.583333333333333
"DEN","azar",3142,0.541666666666667,0.633333333333333,0.388888888888889,0.521296296296296,0.633333333333333,0.633333333333333
