"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"NE","azar",4170,0.490196078431373,0.551724137931034,0.409090909090909,0.483670375151105,0.551724137931034,0.551724137931034
"NE","azar",3951,0.607843137254902,0.655172413793103,0.545454545454545,0.60282336550085,0.655172413793103,0.655172413793103
"NE","azar",5491,0.470588235294118,0.53448275862069,0.386363636363636,0.463811543426148,0.53448275862069,0.53448275862069
"NE","azar",1762,0.490196078431373,0.551724137931034,0.409090909090909,0.483670375151105,0.551724137931034,0.551724137931034
"NE","azar",3409,0.509803921568627,0.568965517241379,0.431818181818182,0.503529206876063,0.568965517241379,0.568965517241379
"NE","azar",3980,0.529411764705882,0.586206896551724,0.454545454545455,0.52338803860102,0.586206896551724,0.586206896551724
"NE","azar",1383,0.490196078431373,0.551724137931034,0.409090909090909,0.483670375151105,0.551724137931034,0.551724137931034
"NE","azar",768,0.490196078431373,0.551724137931034,0.409090909090909,0.483670375151105,0.551724137931034,0.551724137931034
"NE","azar",1058,0.549019607843137,0.603448275862069,0.477272727272727,0.543246870325978,0.603448275862069,0.603448275862069
"NE","azar",8585,0.470588235294118,0.53448275862069,0.386363636363636,0.463811543426148,0.53448275862069,0.53448275862069
"NE","azar",564,0.509803921568627,0.568965517241379,0.431818181818182,0.503529206876063,0.568965517241379,0.568965517241379
"NE","azar",2478,0.588235294117647,0.637931034482759,0.522727272727273,0.582964533775893,0.637931034482759,0.637931034482759
"NE","azar",9481,0.509803921568627,0.568965517241379,0.431818181818182,0.503529206876063,0.568965517241379,0.568965517241379
"NE","azar",5701,0.607843137254902,0.655172413793103,0.545454545454545,0.60282336550085,0.655172413793103,0.655172413793103
"NE","azar",8455,0.588235294117647,0.637931034482759,0.522727272727273,0.582964533775893,0.637931034482759,0.637931034482759
"NE","azar",6401,0.588235294117647,0.637931034482759,0.522727272727273,0.582964533775893,0.637931034482759,0.637931034482759
"NE","azar",3291,0.411764705882353,0.482758620689655,0.318181818181818,0.404235048251275,0.482758620689655,0.482758620689655
"NE","azar",9579,0.529411764705882,0.586206896551724,0.454545454545455,0.52338803860102,0.586206896551724,0.586206896551724
"NE","azar",1438,0.529411764705882,0.586206896551724,0.454545454545455,0.52338803860102,0.586206896551724,0.586206896551724
"NE","azar",3142,0.529411764705882,0.586206896551724,0.454545454545455,0.52338803860102,0.586206896551724,0.586206896551724
