"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"ATL","azar",4170,0.34,0.297872340425532,0.377358490566038,0.33841027699719,0.297872340425532,0.297872340425532
"ATL","azar",3951,0.5,0.468085106382979,0.528301886792453,0.498795664391811,0.468085106382979,0.468085106382979
"ATL","azar",5491,0.48,0.446808510638298,0.509433962264151,0.478747490967483,0.446808510638298,0.446808510638298
"ATL","azar",1762,0.42,0.382978723404255,0.452830188679245,0.4186029706945,0.382978723404255,0.382978723404255
"ATL","azar",3409,0.5,0.468085106382979,0.528301886792453,0.498795664391811,0.468085106382979,0.468085106382979
"ATL","azar",3980,0.58,0.553191489361702,0.60377358490566,0.578988358089121,0.553191489361702,0.553191489361702
"ATL","azar",1383,0.54,0.51063829787234,0.566037735849057,0.538892011240466,0.51063829787234,0.51063829787234
"ATL","azar",768,0.54,0.51063829787234,0.566037735849057,0.538892011240466,0.51063829787234,0.51063829787234
"ATL","azar",1058,0.46,0.425531914893617,0.490566037735849,0.458699317543155,0.425531914893617,0.425531914893617
"ATL","azar",8585,0.5,0.468085106382979,0.528301886792453,0.498795664391811,0.468085106382979,0.468085106382979
"ATL","azar",564,0.54,0.51063829787234,0.566037735849057,0.538892011240466,0.51063829787234,0.51063829787234
"ATL","azar",2478,0.56,0.531914893617021,0.584905660377358,0.558940184664793,0.531914893617021,0.531914893617021
"ATL","azar",9481,0.48,0.446808510638298,0.509433962264151,0.478747490967483,0.446808510638298,0.446808510638298
"ATL","azar",5701,0.5,0.468085106382979,0.528301886792453,0.498795664391811,0.468085106382979,0.468085106382979
"ATL","azar",8455,0.48,0.446808510638298,0.509433962264151,0.478747490967483,0.446808510638298,0.446808510638298
"ATL","azar",6401,0.54,0.51063829787234,0.566037735849057,0.538892011240466,0.51063829787234,0.51063829787234
"ATL","azar",3291,0.44,0.404255319148936,0.471698113207547,0.438651144118828,0.404255319148936,0.404255319148936
"ATL","azar",9579,0.48,0.446808510638298,0.509433962264151,0.478747490967483,0.446808510638298,0.446808510638298
"ATL","azar",1438,0.46,0.425531914893617,0.490566037735849,0.458699317543155,0.425531914893617,0.425531914893617
"ATL","azar",3142,0.52,0.48936170212766,0.547169811320755,0.518843837816138,0.48936170212766,0.48936170212766
