"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"SEA","azar",4170,0.533333333333333,0.618181818181818,0.4,0.517171717171717,0.618181818181818,0.618181818181818
"SEA","azar",3951,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","azar",5491,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","azar",1762,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","azar",3409,0.511111111111111,0.6,0.371428571428571,0.494179894179894,0.6,0.6
"SEA","azar",3980,0.533333333333333,0.618181818181818,0.4,0.517171717171717,0.618181818181818,0.618181818181818
"SEA","azar",1383,0.488888888888889,0.581818181818182,0.342857142857143,0.471188071188071,0.581818181818182,0.581818181818182
"SEA","azar",768,0.488888888888889,0.581818181818182,0.342857142857143,0.471188071188071,0.581818181818182,0.581818181818182
"SEA","azar",1058,0.533333333333333,0.618181818181818,0.4,0.517171717171717,0.618181818181818,0.618181818181818
"SEA","azar",8585,0.488888888888889,0.581818181818182,0.342857142857143,0.471188071188071,0.581818181818182,0.581818181818182
"SEA","azar",564,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","azar",2478,0.466666666666667,0.563636363636364,0.314285714285714,0.448196248196248,0.563636363636364,0.563636363636364
"SEA","azar",9481,0.555555555555556,0.636363636363636,0.428571428571429,0.54016354016354,0.636363636363636,0.636363636363636
"SEA","azar",5701,0.444444444444444,0.545454545454545,0.285714285714286,0.425204425204425,0.545454545454545,0.545454545454545
"SEA","azar",8455,0.422222222222222,0.527272727272727,0.257142857142857,0.402212602212602,0.527272727272727,0.527272727272727
"SEA","azar",6401,0.533333333333333,0.618181818181818,0.4,0.517171717171717,0.618181818181818,0.618181818181818
"SEA","azar",3291,0.488888888888889,0.581818181818182,0.342857142857143,0.471188071188071,0.581818181818182,0.581818181818182
"SEA","azar",9579,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","azar",1438,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","azar",3142,0.511111111111111,0.6,0.371428571428571,0.494179894179894,0.6,0.6
