"equipo","modelo","semilla","exactitud","precision","precision_secundaria","promedio","f1","recall"
"NO","azar",4170,0.481481481481481,0.575757575757576,0.333333333333333,0.463524130190797,0.575757575757576,0.575757575757576
"NO","azar",3951,0.574074074074074,0.651515151515151,0.452380952380952,0.559323392656726,0.651515151515151,0.651515151515151
"NO","azar",5491,0.5,0.590909090909091,0.357142857142857,0.482683982683983,0.590909090909091,0.590909090909091
"NO","azar",1762,0.518518518518518,0.606060606060606,0.380952380952381,0.501843835177168,0.606060606060606,0.606060606060606
"NO","azar",3409,0.648148148148148,0.712121212121212,0.547619047619048,0.635962802629469,0.712121212121212,0.712121212121212
"NO","azar",3980,0.537037037037037,0.621212121212121,0.404761904761905,0.521003687670354,0.621212121212121,0.621212121212121
"NO","azar",1383,0.444444444444444,0.545454545454545,0.285714285714286,0.425204425204425,0.545454545454545,0.545454545454545
"NO","azar",768,0.648148148148148,0.712121212121212,0.547619047619048,0.635962802629469,0.712121212121212,0.712121212121212
"NO","azar",1058,0.555555555555556,0.636363636363636,0.428571428571429,0.54016354016354,0.636363636363636,0.636363636363636
"NO","azar",8585,0.5,0.590909090909091,0.357142857142857,0.482683982683983,0.590909090909091,0.590909090909091
"NO","azar",564,0.574074074074074,0.651515151515151,0.452380952380952,0.559323392656726,0.651515151515151,0.651515151515151
"NO","azar",2478,0.462962962962963,0.560606060606061,0.30952380952381,0.444364277697611,0.560606060606061,0.560606060606061
"NO","azar",9481,0.555555555555556,0.636363636363636,0.428571428571429,0.54016354016354,0.636363636363636,0.636363636363636
"NO","azar",5701,0.444444444444444,0.545454545454545,0.285714285714286,0.425204425204425,0.545454545454545,0.545454545454545
"NO","azar",8455,0.592592592592593,0.666666666666667,0.476190476190476,0.578483245149912,0.666666666666667,0.666666666666667
"NO","azar",6401,0.462962962962963,0.560606060606061,0.30952380952381,0.444364277697611,0.560606060606061,0.560606060606061
"NO","azar",3291,0.611111111111111,0.681818181818182,0.5,0.597643097643098,0.681818181818182,0.681818181818182
"NO","azar",9579,0.574074074074074,0.651515151515151,0.452380952380952,0.559323392656726,0.651515151515151,0.651515151515151
"NO","azar",1438,0.537037037037037,0.621212121212121,0.404761904761905,0.521003687670354,0.621212121212121,0.621212121212121
"NO","azar",3142,0.518518518518518,0.606060606060606,0.380952380952381,0.501843835177168,0.606060606060606,0.606060606060606
