"Feature","promedio_gain"
"gameClock_mod",0.206926797207762
"yardlineNumber",0.119944839234052
"yardsToGo",0.117422297081182
"down",0.105873034605356
"absoluteYardlineNumber",0.103785620721282
"diferencia",0.0862226529509098
"gameId",0.0548045491454221
"quarter",0.0419934949102037
"nflId_43345",0.0229110098574189
"nflId_46113",0.0180840769367409
"nflId_47856",0.0147592889071981
"nflId_52581",0.0138031023995957
"nflId_53646",0.013010928930405
"nflId_44068",0.0113464711457283
"nflId_41324",0.0110862418666026
"nflId_47815",0.0109901745746415
"nflId_54536",0.00972544968645925
"nflId_46276",0.00945237632930544
"nflId_53468",0.00642352998512911
"nflId_47904",0.00536219624580598
"nflId_48207",0.00417407300349471
"nflId_52457",0.00334681907997282
"nflId_53586",0.00321024631010194
"nflId_54668",0.0023335577650899
"nflId_40149",0.00150323691432161
"nflId_53580",0.00134369054005036
"nflId_52451",0.000160243665768448
