"Feature","promedio_gain"
"gameClock_mod",0.192038464075674
"nflId_30842",0.0928652261625718
"diferencia",0.0914851159091473
"absoluteYardlineNumber",0.0817613255106674
"yardlineNumber",0.0720097132412789
"down",0.069611759237149
"gameId",0.0657211669667104
"yardsToGo",0.0656736095049802
"quarter",0.0603056610305707
"nflId_52614",0.0306307829817393
"nflId_45635",0.0242453967628484
"nflId_40057",0.0218299052125398
"nflId_37139",0.0185257951628713
"nflId_54597",0.0184639520580686
"nflId_44995",0.0170897639637577
"nflId_52470",0.015775554693062
"nflId_54723",0.0109357997363637
"nflId_54499",0.010368396320238
"nflId_48181",0.0100912986000502
"nflId_46705",0.007327396119433
"nflId_53514",0.00590058216783124
"nflId_52616",0.00383179776871327
"nflId_41230",0.00345776572610802
"nflId_53571",0.00254582608035471
"nflId_47827",0.00244305114247627
"nflId_52502",0.00230717852996058
"nflId_54605",0.00209712871303604
"nflId_47970",0.000357775487938963
"nflId_52600",0.000302811133858907
