"Feature","promedio_gain"
"gameClock_mod",0.183090832483096
"yardlineNumber",0.123574823011609
"absoluteYardlineNumber",0.108235763487938
"diferencia",0.100078437350046
"nflId_53633",0.0740909961224634
"yardsToGo",0.069617078658623
"quarter",0.0661535685871573
"gameId",0.0537948538560227
"nflId_46170",0.0504498981165705
"down",0.0454989226499583
"nflId_53488",0.0238129461333648
"nflId_52858",0.0211338505353855
"nflId_53512",0.0167380770160094
"nflId_44901",0.0164175457872975
"nflId_44820",0.0131453345338084
"nflId_46070",0.00879393865826966
"nflId_45159",0.00767689120448404
"nflId_43808",0.0061786679949051
"nflId_44882",0.00513430098089295
"nflId_46284",0.00293744188755547
"nflId_52450",0.00232945848407024
"nflId_53555",0.00108898481523683
"nflId_55014",0.000754365864895506
"nflId_53746",0.000490940673404417
