"Feature","promedio_gain"
"gameClock_mod",0.146961506826253
"down",0.124940511229501
"yardlineNumber",0.109882065234293
"nflId_42569",0.10789454470139
"yardsToGo",0.0971939369984423
"absoluteYardlineNumber",0.0971642295355321
"quarter",0.0636725392208322
"gameId",0.0570231784669286
"nflId_42489",0.0472836309832464
"nflId_54528",0.0399817395624228
"diferencia",0.0302833223879978
"nflId_53855",0.0132371043332713
"nflId_44985",0.0103896661383025
"nflId_47879",0.00953972385149911
"nflId_42392",0.00951847021561568
"nflId_53079",0.00843041766219835
"nflId_48011",0.00685232935616283
"nflId_39684",0.00666863542640489
"nflId_52494",0.00444485540288262
"nflId_47857",0.00284217166202518
"nflId_53522",0.00243681646176458
"nflId_54613",0.00173068017435582
"nflId_42818",0.00137402606150894
"nflId_42448",0.00113095079081471
"nflId_52536",0.000857027557289472
"nflId_40124",0.000843003981751677
