"Feature","promedio_gain"
"gameClock_mod",0.182187469035951
"yardlineNumber",0.15031335634426
"yardsToGo",0.106815622473222
"absoluteYardlineNumber",0.10631704274131
"down",0.0948837292078496
"diferencia",0.0905802352496724
"quarter",0.0439743325387436
"gameId",0.0435177792275512
"nflId_47853",0.0373439669816425
"nflId_52460",0.0304630022422033
"nflId_46158",0.0159562666128592
"nflId_52465",0.0158145972733547
"nflId_46338",0.0145818401670593
"nflId_40089",0.0128032183118568
"nflId_53678",0.0115519334347802
"nflId_47880",0.0114637241222043
"nflId_46830",0.0111927474365643
"nflId_47952",0.00898854355055286
"nflId_46180",0.00596055404491985
"nflId_46376",0.00263104013467407
"nflId_53868",0.00201262576077504
"nflId_52544",0.000820715430189982
"nflId_41290",0.000511141907592356
"nflId_42837",0.000423344115012814
"nflId_48786",0.000158449689730458
