"Feature","promedio_gain"
"gameClock_mod",0.167129534070981
"diferencia",0.0988440127501239
"nflId_30842",0.0873255640813733
"yardsToGo",0.0788910926003344
"down",0.0764143151987901
"absoluteYardlineNumber",0.0698363659100808
"yardlineNumber",0.0668978538204838
"gameId",0.0497892604428538
"quarter",0.0452946926195026
"nflId_52614",0.0390540617516416
"nflId_45635",0.0389661755845041
"nflId_37139",0.0236261707675768
"nflId_54723",0.0230657544586934
"nflId_40057",0.0177833330685875
"nflId_52470",0.0167453751942436
"nflId_54597",0.0162696013170414
"nflId_52616",0.014198009943733
"nflId_53514",0.012539148382997
"nflId_44995",0.012526307343028
"nflId_54499",0.0108754537157346
"nflId_46705",0.00817865404855476
"nflId_47827",0.00584442063325407
"nflId_48181",0.00447695076517899
"nflId_54605",0.0037386915322752
"nflId_53571",0.00360729393009867
"nflId_52502",0.00354362355664565
"nflId_41230",0.00278609709866557
"nflId_47970",0.00100217282918836
"nflId_52600",0.00100047068386541
