"","hojas","min_data","fracciones_variables","lerners","profundidad","exactitud","precision","precision_secundaria","promedio"
"1",15,5,0.5,0.01,3,0.663400926558821,0.699074074074074,0.621129326047359,0.661201442226751
"2",15,5,0.5,0.01,5,0.678590415432521,0.712962962962963,0.637887067395264,0.676480148596916
"3",15,5,0.5,0.01,7,0.66347687400319,0.699074074074074,0.621311475409836,0.6612874744957
"4",15,5,0.5,0.01,9,0.658464342674869,0.694444444444444,0.615846994535519,0.656251927218278
"5",15,5,0.5,0.03,3,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"6",15,5,0.5,0.03,5,0.658426368952685,0.694444444444444,0.61575591985428,0.656208911083803
"7",15,5,0.5,0.03,7,0.648325358851675,0.685185185185185,0.604644808743169,0.64605178426001
"8",15,5,0.5,0.03,9,0.663400926558821,0.699074074074074,0.621129326047359,0.661201442226751
"9",15,5,0.5,0.05,3,0.663438900281005,0.699074074074074,0.621220400728597,0.661244458361226
"10",15,5,0.5,0.05,5,0.653451811346548,0.689814814814815,0.610382513661202,0.651216379940855
"11",15,5,0.5,0.05,7,0.648363332573859,0.685185185185185,0.604735883424408,0.646094800394484
"12",15,5,0.5,0.05,9,0.648325358851675,0.685185185185185,0.604644808743169,0.64605178426001
"13",15,5,0.5,0.1,3,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"14",15,5,0.5,0.1,5,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"15",15,5,0.5,0.1,7,0.643350801245538,0.680555555555556,0.599271402550091,0.641059253117061
"16",15,5,0.5,0.1,9,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"17",15,5,0.5,0.2,3,0.65337586390218,0.689814814814815,0.610200364298725,0.651130347671906
"18",15,5,0.5,0.2,5,0.65337586390218,0.689814814814815,0.610200364298725,0.651130347671906
"19",15,5,0.5,0.2,7,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"20",15,5,0.5,0.2,9,0.648363332573859,0.685185185185185,0.604735883424408,0.646094800394484
"21",15,5,0.6,0.01,3,0.668413457887142,0.703703703703704,0.626593806921676,0.666236989504174
"22",15,5,0.6,0.01,5,0.66347687400319,0.699074074074074,0.621311475409836,0.6612874744957
"23",15,5,0.6,0.01,7,0.658464342674869,0.694444444444444,0.615846994535519,0.656251927218278
"24",15,5,0.6,0.01,9,0.66347687400319,0.699074074074074,0.621311475409836,0.6612874744957
"25",15,5,0.6,0.03,3,0.673425989215463,0.708333333333333,0.632058287795993,0.671272536781596
"26",15,5,0.6,0.03,5,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"27",15,5,0.6,0.03,7,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"28",15,5,0.6,0.03,9,0.633287764866712,0.671296296296296,0.588251366120219,0.630945142427742
"29",15,5,0.6,0.05,3,0.678514467988152,0.712962962962963,0.637704918032787,0.676394116327967
"30",15,5,0.6,0.05,5,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"31",15,5,0.6,0.05,7,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"32",15,5,0.6,0.05,9,0.633325738588897,0.671296296296296,0.588342440801457,0.630988158562217
"33",15,5,0.6,0.1,3,0.668413457887142,0.703703703703704,0.626593806921676,0.666236989504174
"34",15,5,0.6,0.1,5,0.633287764866712,0.671296296296296,0.588251366120219,0.630945142427742
"35",15,5,0.6,0.1,7,0.633325738588897,0.671296296296296,0.588342440801457,0.630988158562217
"36",15,5,0.6,0.1,9,0.638414217361586,0.675925925925926,0.593989071038251,0.636109738108588
"37",15,5,0.6,0.2,3,0.653451811346548,0.689814814814815,0.610382513661202,0.651216379940855
"38",15,5,0.6,0.2,5,0.64327485380117,0.680555555555556,0.599089253187614,0.640973220848113
"39",15,5,0.6,0.2,7,0.663438900281005,0.699074074074074,0.621220400728597,0.661244458361226
"40",15,5,0.6,0.2,9,0.628275233538391,0.666666666666667,0.582786885245902,0.62590959515032
"41",15,5,0.7,0.01,3,0.663400926558821,0.699074074074074,0.621129326047359,0.661201442226751
"42",15,5,0.7,0.01,5,0.658426368952685,0.694444444444444,0.615755919854281,0.656208911083803
"43",15,5,0.7,0.01,7,0.643312827523354,0.680555555555556,0.599180327868852,0.641016236982587
"44",15,5,0.7,0.01,9,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"45",15,5,0.7,0.03,3,0.663438900281005,0.699074074074074,0.621220400728597,0.661244458361226
"46",15,5,0.7,0.03,5,0.653337890179995,0.689814814814815,0.610109289617486,0.651087331537432
"47",15,5,0.7,0.03,7,0.643312827523354,0.680555555555556,0.599180327868852,0.641016236982587
"48",15,5,0.7,0.03,9,0.65337586390218,0.689814814814815,0.610200364298725,0.651130347671906
"49",15,5,0.7,0.05,3,0.683526999316473,0.717592592592593,0.643169398907104,0.68142966360539
"50",15,5,0.7,0.05,5,0.643312827523354,0.680555555555556,0.599180327868852,0.641016236982587
"51",15,5,0.7,0.05,7,0.638262322472849,0.675925925925926,0.593624772313297,0.635937673570691
"52",15,5,0.7,0.05,9,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"53",15,5,0.7,0.1,3,0.658426368952685,0.694444444444444,0.615755919854281,0.656208911083803
"54",15,5,0.7,0.1,5,0.643312827523354,0.680555555555556,0.599180327868852,0.641016236982587
"55",15,5,0.7,0.1,7,0.648401306296043,0.685185185185185,0.604826958105647,0.646137816528958
"56",15,5,0.7,0.1,9,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"57",15,5,0.7,0.2,3,0.658464342674869,0.694444444444444,0.615846994535519,0.656251927218278
"58",15,5,0.7,0.2,5,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"59",15,5,0.7,0.2,7,0.633325738588897,0.671296296296296,0.588342440801457,0.630988158562217
"60",15,5,0.7,0.2,9,0.653413837624364,0.689814814814815,0.610291438979964,0.651173363806381
"61",15,5,0.8,0.01,3,0.683526999316473,0.717592592592593,0.643169398907104,0.68142966360539
"62",15,5,0.8,0.01,5,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"63",15,5,0.8,0.01,7,0.648401306296043,0.685185185185185,0.604826958105647,0.646137816528958
"64",15,5,0.8,0.01,9,0.648401306296043,0.685185185185185,0.604826958105647,0.646137816528958
"65",15,5,0.8,0.03,3,0.673463962937647,0.708333333333333,0.632149362477231,0.671315552916071
"66",15,5,0.8,0.03,5,0.653337890179995,0.689814814814815,0.610109289617486,0.651087331537432
"67",15,5,0.8,0.03,7,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"68",15,5,0.8,0.03,9,0.648363332573859,0.685185185185185,0.604735883424408,0.646094800394484
"69",15,5,0.8,0.05,3,0.678476494265968,0.712962962962963,0.637613843351548,0.676351100193493
"70",15,5,0.8,0.05,5,0.638300296195033,0.675925925925926,0.593715846994536,0.635980689705165
"71",15,5,0.8,0.05,7,0.648363332573859,0.685185185185185,0.604735883424408,0.646094800394484
"72",15,5,0.8,0.05,9,0.643312827523354,0.680555555555556,0.599180327868852,0.641016236982587
"73",15,5,0.8,0.1,3,0.653337890179995,0.689814814814815,0.610109289617486,0.651087331537432
"74",15,5,0.8,0.1,5,0.648363332573859,0.685185185185185,0.604735883424408,0.646094800394484
"75",15,5,0.8,0.1,7,0.658388395230501,0.694444444444444,0.615664845173042,0.656165894949329
"76",15,5,0.8,0.1,9,0.638338269917217,0.675925925925926,0.593806921675774,0.636023705839639
"77",15,5,0.8,0.2,3,0.653413837624364,0.689814814814815,0.610291438979964,0.651173363806381
"78",15,5,0.8,0.2,5,0.628237259816207,0.666666666666667,0.582695810564663,0.625866579015846
"79",15,5,0.8,0.2,7,0.628237259816207,0.666666666666667,0.582695810564663,0.625866579015846
"80",15,5,0.8,0.2,9,0.648325358851675,0.685185185185185,0.604644808743169,0.64605178426001
"81",15,5,0.9,0.01,3,0.68850155692261,0.722222222222222,0.648542805100182,0.686422194748338
"82",15,5,0.9,0.01,5,0.678400546821599,0.712962962962963,0.637431693989071,0.676265067924545
"83",15,5,0.9,0.01,7,0.653451811346548,0.689814814814815,0.610382513661202,0.651216379940855
"84",15,5,0.9,0.01,9,0.653413837624364,0.689814814814815,0.610291438979964,0.651173363806381
"85",15,5,0.9,0.03,3,0.673425989215463,0.708333333333333,0.632058287795993,0.671272536781596
"86",15,5,0.9,0.03,5,0.663400926558821,0.699074074074074,0.621129326047359,0.661201442226751
"87",15,5,0.9,0.03,7,0.663362952836637,0.699074074074074,0.62103825136612,0.661158426092277
"88",15,5,0.9,0.03,9,0.653337890179995,0.689814814814815,0.610109289617486,0.651087331537432
"89",15,5,0.9,0.05,3,0.663400926558821,0.699074074074074,0.621129326047359,0.661201442226751
"90",15,5,0.9,0.05,5,0.658350421508316,0.694444444444444,0.615573770491803,0.656122878814855
"91",15,5,0.9,0.05,7,0.643350801245538,0.680555555555556,0.599271402550091,0.641059253117061
"92",15,5,0.9,0.05,9,0.653337890179995,0.689814814814815,0.610109289617486,0.651087331537432
