"","hojas","min_data","fracciones_variables","lerners","profundidad","exactitud","precision","precision_secundaria","promedio"
"1",15,5,0.5,0.01,3,0.699639107611549,0.774022920952101,0.562962962962963,0.678874997175538
"2",15,5,0.5,0.01,5,0.673556430446194,0.753893623273582,0.525925925925926,0.651125326548567
"3",15,5,0.5,0.01,7,0.657931430446194,0.741845430502498,0.503703703703704,0.634493521550799
"4",15,5,0.5,0.01,9,0.652723097112861,0.73782936624547,0.496296296296296,0.628949586551542
"5",15,5,0.5,0.03,3,0.68926345144357,0.766039768831423,0.548148148148148,0.667817122807714
"6",15,5,0.5,0.03,5,0.64747375328084,0.733764325595063,0.488888888888889,0.623375655921597
"7",15,5,0.5,0.03,7,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"8",15,5,0.5,0.03,9,0.652682086614173,0.737780389852091,0.496296296296296,0.628919590920854
"9",15,5,0.5,0.05,3,0.663139763779528,0.745861494759526,0.511111111111111,0.640037456550055
"10",15,5,0.5,0.05,5,0.642224409448819,0.729699284944657,0.481481481481481,0.617801725291652
"11",15,5,0.5,0.05,7,0.647432742782152,0.733715349201685,0.488888888888889,0.623345660290909
"12",15,5,0.5,0.05,9,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"13",15,5,0.5,0.1,3,0.647432742782152,0.733715349201685,0.488888888888889,0.623345660290909
"14",15,5,0.5,0.1,5,0.647432742782152,0.733715349201685,0.488888888888889,0.623345660290909
"15",15,5,0.5,0.1,7,0.63184875328084,0.721716132823979,0.466666666666667,0.606743850923829
"16",15,5,0.5,0.1,9,0.63184875328084,0.721716132823979,0.466666666666667,0.606743850923829
"17",15,5,0.5,0.2,3,0.631725721784777,0.721569203643844,0.466666666666667,0.606653864031762
"18",15,5,0.5,0.2,5,0.642224409448819,0.729699284944657,0.481481481481481,0.617801725291652
"19",15,5,0.5,0.2,7,0.626640419947507,0.717700068566951,0.459259259259259,0.601199915924572
"20",15,5,0.5,0.2,9,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"21",15,5,0.6,0.01,3,0.694430774278215,0.770006856695073,0.555555555555556,0.673331062176281
"22",15,5,0.6,0.01,5,0.663057742782152,0.745763541972769,0.511111111111111,0.639977465288677
"23",15,5,0.6,0.01,7,0.668348097112861,0.749877559016554,0.518518518518518,0.645581391549311
"24",15,5,0.6,0.01,9,0.652682086614173,0.737780389852091,0.496296296296296,0.628919590920854
"25",15,5,0.6,0.03,3,0.678805774278215,0.757958663923989,0.533333333333333,0.656699257178512
"26",15,5,0.6,0.03,5,0.652682086614173,0.737780389852091,0.496296296296296,0.628919590920854
"27",15,5,0.6,0.03,7,0.668307086614173,0.749828582623176,0.518518518518518,0.645551395918623
"28",15,5,0.6,0.03,9,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"29",15,5,0.6,0.05,3,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"30",15,5,0.6,0.05,5,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"31",15,5,0.6,0.05,7,0.637016076115486,0.725683220687629,0.474074074074074,0.612257790292396
"32",15,5,0.6,0.05,9,0.647432742782152,0.733715349201685,0.488888888888889,0.623345660290909
"33",15,5,0.6,0.1,3,0.66309875328084,0.745812518366147,0.511111111111111,0.640007460919366
"34",15,5,0.6,0.1,5,0.631725721784777,0.721569203643844,0.466666666666667,0.606653864031762
"35",15,5,0.6,0.1,7,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"36",15,5,0.6,0.1,9,0.636975065616798,0.72563424429425,0.474074074074074,0.612227794661707
"37",15,5,0.6,0.2,3,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"38",15,5,0.6,0.2,5,0.642265419947507,0.729748261338035,0.481481481481481,0.617831720922341
"39",15,5,0.6,0.2,7,0.631807742782152,0.7216671564306,0.466666666666667,0.60671385529314
"40",15,5,0.6,0.2,9,0.626640419947507,0.717700068566951,0.459259259259259,0.601199915924572
"41",15,5,0.7,0.01,3,0.683973097112861,0.761925751787638,0.540740740740741,0.66221319654708
"42",15,5,0.7,0.01,5,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"43",15,5,0.7,0.01,7,0.678764763779528,0.75790968753061,0.533333333333333,0.656669261547824
"44",15,5,0.7,0.01,9,0.668307086614173,0.749828582623176,0.518518518518518,0.645551395918623
"45",15,5,0.7,0.03,3,0.678764763779528,0.75790968753061,0.533333333333333,0.656669261547824
"46",15,5,0.7,0.03,5,0.642224409448819,0.729699284944657,0.481481481481481,0.617801725291652
"47",15,5,0.7,0.03,7,0.652682086614173,0.737780389852091,0.496296296296296,0.628919590920854
"48",15,5,0.7,0.03,9,0.668307086614173,0.749828582623176,0.518518518518518,0.645551395918623
"49",15,5,0.7,0.05,3,0.657849409448819,0.741747477715741,0.503703703703704,0.634433530289421
"50",15,5,0.7,0.05,5,0.647391732283465,0.733666372808306,0.488888888888889,0.62331566466022
"51",15,5,0.7,0.05,7,0.657849409448819,0.741747477715741,0.503703703703704,0.634433530289421
"52",15,5,0.7,0.05,9,0.647391732283465,0.733666372808306,0.488888888888889,0.62331566466022
"53",15,5,0.7,0.1,3,0.657849409448819,0.741747477715741,0.503703703703704,0.634433530289421
"54",15,5,0.7,0.1,5,0.621350065616798,0.713586051523166,0.451851851851852,0.595595989663939
"55",15,5,0.7,0.1,7,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"56",15,5,0.7,0.1,9,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"57",15,5,0.7,0.2,3,0.647432742782152,0.733715349201685,0.488888888888889,0.623345660290909
"58",15,5,0.7,0.2,5,0.647514763779528,0.733813301988442,0.488888888888889,0.623405651552286
"59",15,5,0.7,0.2,7,0.642265419947507,0.729748261338035,0.481481481481481,0.617831720922341
"60",15,5,0.7,0.2,9,0.642224409448819,0.729699284944657,0.481481481481481,0.617801725291652
"61",15,5,0.8,0.01,3,0.694471784776903,0.770055833088451,0.555555555555556,0.67336105780697
"62",15,5,0.8,0.01,5,0.66309875328084,0.745812518366147,0.511111111111111,0.640007460919366
"63",15,5,0.8,0.01,7,0.657849409448819,0.741747477715741,0.503703703703704,0.634433530289421
"64",15,5,0.8,0.01,9,0.668307086614173,0.749828582623176,0.518518518518518,0.645551395918623
"65",15,5,0.8,0.03,3,0.678764763779528,0.75790968753061,0.533333333333333,0.656669261547824
"66",15,5,0.8,0.03,5,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"67",15,5,0.8,0.03,7,0.652682086614173,0.737780389852091,0.496296296296296,0.628919590920854
"68",15,5,0.8,0.03,9,0.647514763779528,0.733813301988442,0.488888888888889,0.623405651552286
"69",15,5,0.8,0.05,3,0.683932086614173,0.76187677539426,0.540740740740741,0.662183200916391
"70",15,5,0.8,0.05,5,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"71",15,5,0.8,0.05,7,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"72",15,5,0.8,0.05,9,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"73",15,5,0.8,0.1,3,0.652641076115486,0.737731413458713,0.496296296296296,0.628889595290165
"74",15,5,0.8,0.1,5,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"75",15,5,0.8,0.1,7,0.642183398950131,0.729650308551278,0.481481481481481,0.617771729660964
"76",15,5,0.8,0.1,9,0.642224409448819,0.729699284944657,0.481481481481481,0.617801725291652
"77",15,5,0.8,0.2,3,0.647350721784777,0.733617396414928,0.488888888888889,0.623285669029531
"78",15,5,0.8,0.2,5,0.626517388451444,0.717553139386816,0.459259259259259,0.601109929032506
"79",15,5,0.8,0.2,7,0.657890419947507,0.741796454109119,0.503703703703704,0.63446352592011
"80",15,5,0.8,0.2,9,0.637057086614173,0.725732197081007,0.474074074074074,0.612287785923085
