"diff","lwr","upr","p.adj","comparacion","equipo"
-0.067708333333333,-0.0800695189224974,-0.0553471477441687,0,"modelo_1_defecto-modelo_1_bayesiana","DAL"
0.00729166666666647,-0.00506951892249791,0.0196528522558309,0.727569376941254,"modelo_1_grid-modelo_1_bayesiana","DAL"
0.00416666666666632,-0.00819451892249807,0.0165278522558307,0.993856169561301,"modelo_2_bayesiana-modelo_1_bayesiana","DAL"
-0.0260416666666672,-0.0384028522558316,-0.0136804810775028,2.39577557792359e-09,"modelo_2_defecto-modelo_1_bayesiana","DAL"
0.00937499999999991,-0.00298618558916447,0.0217361855891643,0.342490870631121,"modelo_2_grid-modelo_1_bayesiana","DAL"
0.0166666666666666,0.00430548107750222,0.029027852255831,0.000798271158653163,"modelo_3_bayesiana-modelo_1_bayesiana","DAL"
-0.0260416666666673,-0.0384028522558317,-0.0136804810775029,2.39577557792359e-09,"modelo_3_defecto-modelo_1_bayesiana","DAL"
0.0114583333333331,-0.000902852255831258,0.0238195189224975,0.0983598732988799,"modelo_3_grid-modelo_1_bayesiana","DAL"
-0.0229166666666669,-0.0352778522558313,-0.0105554810775025,2.61082672148305e-07,"modelo_4_bayesiana-modelo_1_bayesiana","DAL"
-0.0677083333333333,-0.0800695189224976,-0.0553471477441689,0,"modelo_4_defecto-modelo_1_bayesiana","DAL"
0.0114583333333331,-0.000902852255831258,0.0238195189224975,0.0983598732988799,"modelo_4_grid-modelo_1_bayesiana","DAL"
0.0749999999999995,0.0626388144108351,0.0873611855891639,0,"modelo_1_grid-modelo_1_defecto","DAL"
0.0718749999999994,0.059513814410835,0.0842361855891637,0,"modelo_2_bayesiana-modelo_1_defecto","DAL"
0.0416666666666659,0.0293054810775015,0.0540278522558302,1.95399252334028e-14,"modelo_2_defecto-modelo_1_defecto","DAL"
0.0770833333333329,0.0647221477441686,0.0894445189224973,0,"modelo_2_grid-modelo_1_defecto","DAL"
0.0843749999999996,0.0720138144108353,0.096736185589164,0,"modelo_3_bayesiana-modelo_1_defecto","DAL"
0.0416666666666657,0.0293054810775014,0.0540278522558301,1.95399252334028e-14,"modelo_3_defecto-modelo_1_defecto","DAL"
0.0791666666666662,0.0668054810775018,0.0915278522558305,0,"modelo_3_grid-modelo_1_defecto","DAL"
0.0447916666666661,0.0324304810775017,0.0571528522558305,0,"modelo_4_bayesiana-modelo_1_defecto","DAL"
-2.22044604925031e-16,-0.0123611855891646,0.0123611855891642,1,"modelo_4_defecto-modelo_1_defecto","DAL"
0.0791666666666662,0.0668054810775018,0.0915278522558305,0,"modelo_4_grid-modelo_1_defecto","DAL"
-0.00312500000000016,-0.0154861855891645,0.00923618558916423,0.99954381837665,"modelo_2_bayesiana-modelo_1_grid","DAL"
-0.0333333333333337,-0.045694518922498,-0.0209721477441693,9.11493103217254e-14,"modelo_2_defecto-modelo_1_grid","DAL"
0.00208333333333344,-0.0102778522558309,0.0144445189224978,0.999991992258922,"modelo_2_grid-modelo_1_grid","DAL"
0.00937500000000013,-0.00298618558916425,0.0217361855891645,0.342490870631085,"modelo_3_bayesiana-modelo_1_grid","DAL"
-0.0333333333333338,-0.0456945189224982,-0.0209721477441694,9.11493103217254e-14,"modelo_3_defecto-modelo_1_grid","DAL"
0.00416666666666665,-0.00819451892249773,0.016527852255831,0.993856169561297,"modelo_3_grid-modelo_1_grid","DAL"
-0.0302083333333334,-0.0425695189224978,-0.017847147744169,2.71871414270208e-12,"modelo_4_bayesiana-modelo_1_grid","DAL"
-0.0749999999999997,-0.0873611855891641,-0.0626388144108354,0,"modelo_4_defecto-modelo_1_grid","DAL"
0.00416666666666665,-0.00819451892249773,0.016527852255831,0.993856169561297,"modelo_4_grid-modelo_1_grid","DAL"
-0.0302083333333335,-0.0425695189224979,-0.0178471477441691,2.71871414270208e-12,"modelo_2_defecto-modelo_2_bayesiana","DAL"
0.00520833333333359,-0.00715285225583079,0.017569518922498,0.964184651237195,"modelo_2_grid-modelo_2_bayesiana","DAL"
0.0125000000000003,0.000138814410835904,0.0248611855891647,0.0447627377740716,"modelo_3_bayesiana-modelo_2_bayesiana","DAL"
-0.0302083333333336,-0.042569518922498,-0.0178471477441692,2.71871414270208e-12,"modelo_3_defecto-modelo_2_bayesiana","DAL"
0.00729166666666681,-0.00506951892249758,0.0196528522558312,0.727569376941196,"modelo_3_grid-modelo_2_bayesiana","DAL"
-0.0270833333333332,-0.0394445189224976,-0.0147221477441689,4.61362059667181e-10,"modelo_4_bayesiana-modelo_2_bayesiana","DAL"
-0.0718749999999996,-0.084236185589164,-0.0595138144108352,0,"modelo_4_defecto-modelo_2_bayesiana","DAL"
0.00729166666666681,-0.00506951892249758,0.0196528522558312,0.727569376941196,"modelo_4_grid-modelo_2_bayesiana","DAL"
0.0354166666666671,0.0230554810775027,0.0477778522558315,7.57172102794357e-14,"modelo_2_grid-modelo_2_defecto","DAL"
0.0427083333333338,0.0303471477441694,0.0550695189224982,0,"modelo_3_bayesiana-modelo_2_defecto","DAL"
-1.11022302462516e-16,-0.0123611855891645,0.0123611855891643,1,"modelo_3_defecto-modelo_2_defecto","DAL"
0.0375000000000003,0.0251388144108359,0.0498611855891647,7.8159700933611e-14,"modelo_3_grid-modelo_2_defecto","DAL"
0.00312500000000027,-0.00923618558916412,0.0154861855891647,0.99954381837665,"modelo_4_bayesiana-modelo_2_defecto","DAL"
-0.0416666666666661,-0.0540278522558305,-0.0293054810775017,1.95399252334028e-14,"modelo_4_defecto-modelo_2_defecto","DAL"
