"diff","lwr","upr","p.adj","comparacion","equipo"
-0.0509259259259254,-0.0644438901496046,-0.0374079617022462,0,"modelo_1_defecto-modelo_1_bayesiana","PHI"
-0.000925925925923443,-0.0144438901496026,0.0125920382977557,0.999999999467551,"modelo_1_grid-modelo_1_bayesiana","PHI"
-0.010185185185185,-0.0237031494088642,0.00333277903849423,0.352756846428876,"modelo_2_bayesiana-modelo_1_bayesiana","PHI"
-0.0138888888888885,-0.0274068531125677,-0.000370924665209316,0.038041344771265,"modelo_2_defecto-modelo_1_bayesiana","PHI"
0.0277777777777779,0.0142598135540987,0.0412957420014571,6.47135989240155e-09,"modelo_2_grid-modelo_1_bayesiana","PHI"
-0.0166666666666666,-0.0301846308903458,-0.00314870244298742,0.00364950057508295,"modelo_3_bayesiana-modelo_1_bayesiana","PHI"
-0.0138888888888885,-0.0274068531125677,-0.000370924665209316,0.038041344771265,"modelo_3_defecto-modelo_1_bayesiana","PHI"
0.0342592592592595,0.0207412950355804,0.0477772234829387,4.68736160996741e-13,"modelo_3_grid-modelo_1_bayesiana","PHI"
-0.0314814814814814,-0.0449994457051606,-0.0179635172578023,2.87763146644693e-11,"modelo_4_bayesiana-modelo_1_bayesiana","PHI"
-0.0509259259259256,-0.0644438901496048,-0.0374079617022464,0,"modelo_4_defecto-modelo_1_bayesiana","PHI"
-0.000925925925925886,-0.0144438901496051,0.0125920382977533,0.999999999467551,"modelo_4_grid-modelo_1_bayesiana","PHI"
0.0500000000000019,0.0364820357763227,0.0635179642236811,0,"modelo_1_grid-modelo_1_defecto","PHI"
0.0407407407407404,0.0272227765170612,0.0542587049644196,7.13873404833976e-14,"modelo_2_bayesiana-modelo_1_defecto","PHI"
0.0370370370370369,0.0235190728133577,0.0505550012607161,7.7937656328686e-14,"modelo_2_defecto-modelo_1_defecto","PHI"
0.0787037037037033,0.0651857394800241,0.0922216679273825,0,"modelo_2_grid-modelo_1_defecto","PHI"
