"diff","lwr","upr","p.adj","comparacion","equipo"
-0.0319999999999999,-0.0451260577709947,-0.0188739422290051,3.06932257387871e-12,"modelo_1_defecto-modelo_1_bayesiana","ATL"
-0.00699999999999767,-0.0201260577709925,0.00612605777099715,0.837027651339589,"modelo_1_grid-modelo_1_bayesiana","ATL"
-0.0189999999999998,-0.0321260577709946,-0.00587394222900497,0.000195049483954102,"modelo_2_bayesiana-modelo_1_bayesiana","ATL"
0.028,0.0148739422290052,0.0411260577709948,1.43510492378596e-09,"modelo_2_defecto-modelo_1_bayesiana","ATL"
-0.0319999999999999,-0.0451260577709947,-0.0188739422290051,3.06932257387871e-12,"modelo_2_grid-modelo_1_bayesiana","ATL"
0.003,-0.0101260577709948,0.0161260577709948,0.999827674235145,"modelo_3_bayesiana-modelo_1_bayesiana","ATL"
0.028,0.0148739422290052,0.0411260577709948,1.43510492378596e-09,"modelo_3_defecto-modelo_1_bayesiana","ATL"
-0.034,-0.0471260577709949,-0.0208739422290052,1.9551027463649e-13,"modelo_3_grid-modelo_1_bayesiana","ATL"
-0.00600000000000001,-0.0191260577709948,0.00712605777099482,0.936700568088182,"modelo_4_bayesiana-modelo_1_bayesiana","ATL"
-0.0319999999999999,-0.0451260577709947,-0.0188739422290051,3.06932257387871e-12,"modelo_4_defecto-modelo_1_bayesiana","ATL"
-0.0079999999999999,-0.0211260577709947,0.00512605777099493,0.684357053811312,"modelo_4_grid-modelo_1_bayesiana","ATL"
0.0250000000000022,0.0118739422290074,0.0381260577709971,1.05243548209621e-07,"modelo_1_grid-modelo_1_defecto","ATL"
0.0130000000000001,-0.000126057770994701,0.0261260577709949,0.0548872696771598,"modelo_2_bayesiana-modelo_1_defecto","ATL"
0.0599999999999999,0.0468739422290051,0.0731260577709948,0,"modelo_2_defecto-modelo_1_defecto","ATL"
0,-0.0131260577709948,0.0131260577709948,1,"modelo_2_grid-modelo_1_defecto","ATL"
0.0349999999999999,0.0218739422290051,0.0481260577709947,1.00142116821189e-13,"modelo_3_bayesiana-modelo_1_defecto","ATL"
0.0599999999999999,0.0468739422290051,0.0731260577709948,0,"modelo_3_defecto-modelo_1_defecto","ATL"
-0.00200000000000011,-0.0151260577709949,0.0111260577709947,0.999997190434939,"modelo_3_grid-modelo_1_defecto","ATL"
0.0259999999999999,0.0128739422290051,0.0391260577709947,2.60419634745546e-08,"modelo_4_bayesiana-modelo_1_defecto","ATL"
0,-0.0131260577709948,0.0131260577709948,1,"modelo_4_defecto-modelo_1_defecto","ATL"
0.024,0.0108739422290052,0.0371260577709948,4.0971053549832e-07,"modelo_4_grid-modelo_1_defecto","ATL"
-0.0120000000000021,-0.0251260577709969,0.0011260577709927,0.109814506835706,"modelo_2_bayesiana-modelo_1_grid","ATL"
0.0349999999999977,0.0218739422290029,0.0481260577709925,1.00142116821189e-13,"modelo_2_defecto-modelo_1_grid","ATL"
-0.0250000000000022,-0.0381260577709971,-0.0118739422290074,1.05243548209621e-07,"modelo_2_grid-modelo_1_grid","ATL"
0.00999999999999768,-0.00312605777099715,0.0231260577709925,0.335509483922026,"modelo_3_bayesiana-modelo_1_grid","ATL"
0.0349999999999977,0.0218739422290029,0.0481260577709925,1.00142116821189e-13,"modelo_3_defecto-modelo_1_grid","ATL"
-0.0270000000000024,-0.0401260577709972,-0.0138739422290075,6.21817231039046e-09,"modelo_3_grid-modelo_1_grid","ATL"
0.000999999999997669,-0.0121260577709972,0.0141260577709925,0.999999998307055,"modelo_4_bayesiana-modelo_1_grid","ATL"
-0.0250000000000022,-0.0381260577709971,-0.0118739422290074,1.05243548209621e-07,"modelo_4_defecto-modelo_1_grid","ATL"
-0.00100000000000222,-0.014126057770997,0.0121260577709926,0.999999998307055,"modelo_4_grid-modelo_1_grid","ATL"
0.0469999999999998,0.033873942229005,0.0601260577709946,0,"modelo_2_defecto-modelo_2_bayesiana","ATL"
-0.0130000000000001,-0.0261260577709949,0.000126057770994701,0.0548872696771598,"modelo_2_grid-modelo_2_bayesiana","ATL"
0.0219999999999998,0.00887394222900497,0.0351260577709946,5.50917659214445e-06,"modelo_3_bayesiana-modelo_2_bayesiana","ATL"
0.0469999999999998,0.033873942229005,0.0601260577709946,0,"modelo_3_defecto-modelo_2_bayesiana","ATL"
-0.0150000000000002,-0.0281260577709951,-0.00187394222900541,0.0108519996624802,"modelo_3_grid-modelo_2_bayesiana","ATL"
0.0129999999999998,-0.000126057770995034,0.0261260577709946,0.0548872696771738,"modelo_4_bayesiana-modelo_2_bayesiana","ATL"
-0.0130000000000001,-0.0261260577709949,0.000126057770994701,0.0548872696771598,"modelo_4_defecto-modelo_2_bayesiana","ATL"
0.0109999999999999,-0.00212605777099492,0.0241260577709947,0.201295547313453,"modelo_4_grid-modelo_2_bayesiana","ATL"
-0.0599999999999999,-0.0731260577709948,-0.0468739422290051,0,"modelo_2_grid-modelo_2_defecto","ATL"
-0.025,-0.0381260577709948,-0.0118739422290052,1.05243548542688e-07,"modelo_3_bayesiana-modelo_2_defecto","ATL"
0,-0.0131260577709948,0.0131260577709948,1,"modelo_3_defecto-modelo_2_defecto","ATL"
-0.0620000000000001,-0.0751260577709949,-0.0488739422290052,0,"modelo_3_grid-modelo_2_defecto","ATL"
-0.034,-0.0471260577709949,-0.0208739422290052,1.9551027463649e-13,"modelo_4_bayesiana-modelo_2_defecto","ATL"
-0.0599999999999999,-0.0731260577709948,-0.0468739422290051,0,"modelo_4_defecto-modelo_2_defecto","ATL"
