"","equipos","metrica","comparacion_a","comparacion_b","comparacion","metrica_a","metrica_b","p_value","skewness"
"35","CHI","precision_secundaria","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.686538461538462,0.526923076923077,0.000119111616062316,-0.70547010766595
"36","CHI","precision_secundaria","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.657692307692308,0.526923076923077,0.000140371075649973,-0.70185708257392
"37","CIN","exactitud","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.820370370370371,0.755555555555556,8.90235077407692e-05,-1.79653789788905e-14
"38","CIN","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.820370370370371,0.558333333333333,9.40897447807637e-05,0.059195104160851
"39","CIN","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.755555555555556,0.558333333333333,9.42224611629232e-05,-0.133116134632904
"40","CIN","precision","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.870422535211268,0.814084507042254,8.82628751772818e-05,-2.06033691484092e-14
"41","CIN","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.870422535211268,0.664084507042253,9.43553195003359e-05,0.0591951041608371
"42","CIN","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.814084507042254,0.664084507042253,9.04309300400769e-05,-0.133116134632918
"43","CIN","precision_secundaria","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.724324324324325,0.643243243243244,0.000120478486939924,1.54635776540929e-16
"44","CIN","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.724324324324325,0.355405405405405,9.44883198891393e-05,0.0591951041608441
"45","CIN","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.643243243243244,0.355405405405405,9.03022886043167e-05,-0.133116134632916
"46","DET","exactitud","profunda_modelo_4","modelo_2_bayesiana","profunda_modelo_4_modelo_2_bayesiana",0.703191489361702,0.687234042553191,0.102447746588928,-0.066119419216617
"47","DET","exactitud","profunda_modelo_4","azar","profunda_modelo_4_azar",0.703191489361702,0.515957446808511,9.42224611629232e-05,-0.630598395691789
"48","DET","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.687234042553191,0.515957446808511,9.09468884751951e-05,-0.184166113813787
"49","DET","precision","profunda_modelo_4","modelo_2_bayesiana","profunda_modelo_4_modelo_2_bayesiana",0.741964285714286,0.7375,0.620027386428512,-0.0661194192166122
"50","DET","precision","profunda_modelo_4","azar","profunda_modelo_4_azar",0.741964285714286,0.59375,9.38247374977226e-05,-0.630598395691792
"51","DET","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.7375,0.59375,9.09468884751951e-05,-0.184166113813791
"52","DET","precision_secundaria","profunda_modelo_4","modelo_2_bayesiana","profunda_modelo_4_modelo_2_bayesiana",0.646052631578947,0.613157894736842,0.0290005553205292,-0.0661194192166113
"53","DET","precision_secundaria","profunda_modelo_4","azar","profunda_modelo_4_azar",0.646052631578947,0.401315789473684,9.54233081282114e-05,-0.630598395691792
"54","DET","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.613157894736842,0.401315789473684,9.34282888349226e-05,-0.184166113813796
"55","HOU","exactitud","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.734117647058823,0.731764705882353,0.519251842350598,-0.570880780923678
"56","HOU","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.734117647058823,0.515294117647059,9.38247374977226e-05,-0.178750841547774
"57","HOU","exactitud","modelo_2_grid","azar","modelo_2_grid_azar",0.731764705882353,0.515294117647059,9.32964221661756e-05,0.0640642538767799
"58","HOU","precision","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.792307692307692,0.78076923076923,0.115290617071394,-0.570880780923679
"59","HOU","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.792307692307692,0.603846153846154,9.36924464046361e-05,-0.17875084154776
"60","HOU","precision","modelo_2_grid","azar","modelo_2_grid_azar",0.78076923076923,0.603846153846154,9.32964221661756e-05,0.0640642538767845
"61","HOU","precision_secundaria","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.642424242424242,0.654545454545455,0.454607044032058,-0.570880780923686
"62","HOU","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.642424242424242,0.375757575757576,9.26392061424032e-05,-0.178750841547774
"63","HOU","precision_secundaria","modelo_2_grid","azar","modelo_2_grid_azar",0.654545454545455,0.375757575757576,9.36924464046361e-05,0.0640642538767897
"64","MIA","exactitud","profunda_modelo_4","modelo_3_grid","profunda_modelo_4_modelo_3_grid",0.715686274509804,0.762376237623762,0.000144770404769327,-0.438341208860406
"65","MIA","exactitud","profunda_modelo_4","azar","profunda_modelo_4_azar",0.715686274509804,0.558415841584158,9.54233081282114e-05,-0.132526100789326
"66","MIA","exactitud","modelo_3_grid","azar","modelo_3_grid_azar",0.762376237623762,0.558415841584158,9.42224611629232e-05,0.140145513257485
"67","MIA","precision","profunda_modelo_4","modelo_3_grid","profunda_modelo_4_modelo_3_grid",0.798507462686567,0.82089552238806,0.000868362009390857,-0.434619078335528
"68","MIA","precision","profunda_modelo_4","azar","profunda_modelo_4_azar",0.798507462686567,0.667164179104478,9.44883198891393e-05,-0.135030577426514
"69","MIA","precision","modelo_3_grid","azar","modelo_3_grid_azar",0.82089552238806,0.667164179104478,9.39571702577334e-05,0.14014551325749
"70","MIA","precision_secundaria","profunda_modelo_4","modelo_3_grid","profunda_modelo_4_modelo_3_grid",0.557142857142857,0.647058823529412,9.14650798137357e-05,-0.44553039436824
"71","MIA","precision_secundaria","profunda_modelo_4","azar","profunda_modelo_4_azar",0.557142857142857,0.344117647058824,9.54233081282114e-05,-0.127677353106491
"72","MIA","precision_secundaria","modelo_3_grid","azar","modelo_3_grid_azar",0.647058823529412,0.344117647058824,9.34282888349226e-05,0.140145513257496
"73","NYJ","exactitud","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.702803738317757,0.780373831775701,8.67564446927217e-05,-0.354489212142401
"74","NYJ","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.702803738317757,0.536448598130841,9.38247374977226e-05,0.304099923823789
"75","NYJ","exactitud","modelo_2_grid","azar","modelo_2_grid_azar",0.780373831775701,0.536448598130841,9.18551923486754e-05,0.0625988092554485
"76","NYJ","precision","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.766176470588235,0.827205882352941,8.29553445533844e-05,-0.354489212142425
"77","NYJ","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.766176470588235,0.635294117647059,9.18551923486754e-05,0.304099923823807
"78","NYJ","precision","modelo_2_grid","azar","modelo_2_grid_azar",0.827205882352941,0.635294117647059,9.18551923486754e-05,0.0625988092554831
"79","NYJ","precision_secundaria","no_profunda_modelo_3","modelo_2_grid","no_profunda_modelo_3_modelo_2_grid",0.592307692307692,0.698717948717948,8.6382912601026e-05,-0.354489212142442
"80","NYJ","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.592307692307692,0.364102564102564,9.34282888349226e-05,0.304099923823798
"81","NYJ","precision_secundaria","modelo_2_grid","azar","modelo_2_grid_azar",0.698717948717948,0.364102564102564,9.18551923486754e-05,0.0625988092554685
"82","WAS","exactitud","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.760714285714286,0.758928571428571,0.439867413775478,0.921231961486531
"83","WAS","exactitud","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.760714285714286,0.524107142857143,9.39571702577334e-05,-0.814244982500939
"84","WAS","exactitud","modelo_2_defecto","azar","modelo_2_defecto_azar",0.758928571428571,0.524107142857143,9.17250147376448e-05,-0.519011530766418
"85","WAS","precision","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.811267605633803,0.816901408450704,0.45173795304978,0.921231961486527
"86","WAS","precision","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.811267605633803,0.63169014084507,9.36924464046361e-05,-0.814244982500953
"87","WAS","precision","modelo_2_defecto","azar","modelo_2_defecto_azar",0.816901408450704,0.63169014084507,9.17250147376448e-05,-0.519011530766418
"88","WAS","precision_secundaria","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.673170731707317,0.658536585365854,0.110223046354865,0.921231961486553
"89","WAS","precision_secundaria","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.673170731707317,0.33780487804878,9.40897447807637e-05,-0.814244982500945
"90","WAS","precision_secundaria","modelo_2_defecto","azar","modelo_2_defecto_azar",0.658536585365854,0.33780487804878,9.17250147376448e-05,-0.519011530766422
"91","ARI","exactitud","profunda_modelo_4","modelo_3_bayesiana","profunda_modelo_4_modelo_3_bayesiana",0.708035714285714,0.659821428571429,0.00012443630116969,0.314529360550827
"92","ARI","exactitud","profunda_modelo_4","azar","profunda_modelo_4_azar",0.708035714285714,0.558035714285714,9.46214624254854e-05,-0.254143324891471
"93","ARI","exactitud","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.659821428571429,0.558035714285714,0.000139060404823382,-0.393663771550051
"94","ARI","precision","profunda_modelo_4","modelo_3_bayesiana","profunda_modelo_4_modelo_3_bayesiana",0.792567567567568,0.742567567567568,9.10762267356984e-05,0.314529360550782
"95","ARI","precision","profunda_modelo_4","azar","profunda_modelo_4_azar",0.792567567567568,0.665540540540541,9.44883198891393e-05,-0.254143324891481
"96","ARI","precision","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.742567567567568,0.665540540540541,0.000141029860744072,-0.393663771550059
"97","ARI","precision_secundaria","profunda_modelo_4","modelo_3_bayesiana","profunda_modelo_4_modelo_3_bayesiana",0.543421052631579,0.498684210526316,0.00068802669593505,0.314529360550813
"98","ARI","precision_secundaria","profunda_modelo_4","azar","profunda_modelo_4_azar",0.543421052631579,0.348684210526316,0.000141690952140716,-0.254143324891469
"99","ARI","precision_secundaria","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.498684210526316,0.348684210526316,0.000141911829296028,-0.393663771550051
"100","LAC","exactitud","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.762626262626263,0.761224489795918,0.378940265535734,0.0941974156186876
"101","LAC","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.762626262626263,0.574489795918367,9.50217438815064e-05,0.0910269310866285
"102","LAC","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.761224489795918,0.574489795918367,9.47547472055397e-05,-0.124464461514624
"103","LAC","precision","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.827205882352941,0.827941176470588,0.822801683757703,0.0920884651129706
"104","LAC","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.827205882352941,0.693382352941177,9.18551923486754e-05,0.0938008242311731
"105","LAC","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.827941176470588,0.693382352941177,9.32964221661756e-05,-0.124464461514627
"106","LAC","precision_secundaria","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.620967741935484,0.61,0.378940265535734,0.0987465810709051
"107","LAC","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.620967741935484,0.305,9.50217438815064e-05,0.0848423838865325
"108","LAC","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.61,0.305,9.39571702577334e-05,-0.124464461514621
"109","MIN","exactitud","no_profunda_modelo_3","modelo_3_bayesiana","no_profunda_modelo_3_modelo_3_bayesiana",0.682105263157895,0.656842105263158,0.064164770706182,0.361568734681034
"110","MIN","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.682105263157895,0.538947368421053,0.00012887417582639,-0.356974683569178
"111","MIN","exactitud","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.656842105263158,0.538947368421053,0.000138625553495544,-0.40565502221154
"112","MIN","precision","no_profunda_modelo_3","modelo_3_bayesiana","no_profunda_modelo_3_modelo_3_bayesiana",0.752459016393443,0.740983606557377,0.443306564042416,0.361568734681037
"113","MIN","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.752459016393443,0.649180327868852,0.000179721868117474,-0.356974683569178
"114","MIN","precision","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.740983606557377,0.649180327868852,0.000138625553495544,-0.405655022211538
"115","MIN","precision_secundaria","no_profunda_modelo_3","modelo_3_bayesiana","no_profunda_modelo_3_modelo_3_bayesiana",0.555882352941176,0.505882352941176,0.0168806718454671,0.361568734681034
"116","MIN","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.555882352941176,0.341176470588235,0.00014213296343129,-0.356974683569179
"117","MIN","precision_secundaria","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.505882352941176,0.341176470588235,0.000140151992285634,-0.405655022211551
"118","TEN","exactitud","profunda_modelo_3","modelo_2_defecto","profunda_modelo_3_modelo_2_defecto",0.642682926829269,0.731707317073171,8.52696564468576e-05,-0.736811485807682
"119","TEN","exactitud","profunda_modelo_3","azar","profunda_modelo_3_azar",0.642682926829269,0.497560975609756,9.47547472055397e-05,0.333551966854503
"120","TEN","exactitud","modelo_2_defecto","azar","modelo_2_defecto_azar",0.731707317073171,0.497560975609756,8.97891126822368e-05,0.329477322958367
