"","equipo","metrica","modelo_red","modelado_red","modelo_lightgbm","optimizacion_lightgbm","metrica_red","metrica_lightgbm","metrica_azar","p.value"
"1","LA","exactitud","modelo_3","no_profunda","modelo_2","bayesiana",0.709782608695652,0.662637362637363,0.532967032967033,2.1212794173615e-11
"2","ATL","exactitud","modelo_4","no_profunda","modelo_2","defecto",0.725742574257426,0.72,0.493,1.19954673172802e-09
"3","CAR","exactitud","modelo_4","no_profunda","modelo_4","bayesiana",0.676923076923077,0.62,0.51,4.46622346990517e-12
"4","CHI","exactitud","modelo_4","no_profunda","modelo_3","bayesiana",0.687128712871287,0.644,0.508,1.51509497477466e-10
"5","CIN","exactitud","modelo_3","no_profunda","modelo_2","bayesiana",0.82037037037037,0.755555555555556,0.558333333333333,2.94426586033014e-12
"6","DET","exactitud","modelo_4","profunda","modelo_2","bayesiana",0.703191489361702,0.687234042553192,0.515957446808511,2.21705969687695e-09
"7","HOU","exactitud","modelo_3","no_profunda","modelo_2","grid",0.734117647058824,0.731764705882353,0.515294117647059,1.73622225365416e-09
"8","MIA","exactitud","modelo_4","profunda","modelo_3","grid",0.715686274509804,0.762376237623762,0.558415841584158,3.77220343590429e-11
"9","NYJ","exactitud","modelo_3","no_profunda","modelo_2","grid",0.702803738317757,0.780373831775701,0.536448598130841,2.25086694486749e-12
"10","WAS","exactitud","modelo_4","no_profunda","modelo_2","defecto",0.760714285714286,0.758928571428571,0.524107142857143,9.44557901082163e-10
"11","ARI","exactitud","modelo_4","profunda","modelo_3","bayesiana",0.708035714285714,0.659821428571429,0.558035714285714,1.25296705505539e-11
"12","LAC","exactitud","modelo_3","no_profunda","modelo_2","bayesiana",0.762626262626263,0.761224489795918,0.574489795918367,1.15363697176611e-09
"13","MIN","exactitud","modelo_3","no_profunda","modelo_3","bayesiana",0.682105263157895,0.656842105263158,0.538947368421053,2.3347834836693e-08
"14","TEN","exactitud","modelo_3","profunda","modelo_2","defecto",0.642682926829268,0.731707317073171,0.497560975609756,1.48146636161441e-12
